Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.756 ± 0.206,0.833 ± 0.150,0.673 ± 0.161,0.686 ± 0.174,0.690 ± 0.117,0.692 ± 0.247,0.672 ± 0.148,0.679 ± 0.154,15.200 ± 2.683
SVM_Linear,0.739 ± 0.180,0.766 ± 0.142,0.642 ± 0.149,0.663 ± 0.160,0.642 ± 0.170,0.724 ± 0.233,0.657 ± 0.146,0.602 ± 0.123,15.200 ± 2.683
KNN,0.736 ± 0.177,0.793 ± 0.101,0.659 ± 0.122,0.681 ± 0.132,0.703 ± 0.243,0.747 ± 0.188,0.679 ± 0.114,0.615 ± 0.284,15.200 ± 2.683
LightGBM,0.723 ± 0.106,0.748 ± 0.090,0.618 ± 0.118,0.649 ± 0.073,0.632 ± 0.176,0.716 ± 0.261,0.629 ± 0.171,0.581 ± 0.155,15.200 ± 2.683
XGBoost,0.718 ± 0.066,0.721 ± 0.173,0.611 ± 0.104,0.620 ± 0.088,0.629 ± 0.216,0.645 ± 0.126,0.615 ± 0.153,0.595 ± 0.152,15.200 ± 2.683
LogisticRegression,0.716 ± 0.169,0.736 ± 0.170,0.635 ± 0.157,0.657 ± 0.167,0.637 ± 0.172,0.712 ± 0.246,0.648 ± 0.155,0.602 ± 0.123,15.200 ± 2.683
RandomForest,0.700 ± 0.083,0.746 ± 0.135,0.602 ± 0.082,0.610 ± 0.053,0.618 ± 0.190,0.625 ± 0.141,0.599 ± 0.149,0.595 ± 0.113,15.200 ± 2.683
NaiveBayes,0.696 ± 0.174,0.765 ± 0.123,0.616 ± 0.060,0.609 ± 0.097,0.593 ± 0.105,0.806 ± 0.190,0.665 ± 0.091,0.412 ± 0.171,15.200 ± 2.683
ExtraTrees,0.690 ± 0.084,0.764 ± 0.122,0.637 ± 0.046,0.661 ± 0.039,0.650 ± 0.157,0.724 ± 0.192,0.653 ± 0.091,0.598 ± 0.116,15.200 ± 2.683
GradientBoosting,0.605 ± 0.112,0.666 ± 0.199,0.573 ± 0.098,0.600 ± 0.091,0.595 ± 0.171,0.688 ± 0.216,0.604 ± 0.114,0.511 ± 0.158,15.200 ± 2.683
