,SVM_RBF,SVM_Linear,KNN,LightGBM,XGBoost,LogisticRegression,RandomForest,NaiveBayes,ExtraTrees,GradientBoosting
SVM_RBF,0.0,0.9385775333951218,0.40791338122143567,1.2862846537532295,-0.05902116812314314,0.8019665602603517,0.39553007122726486,1.3201064324297316,1.133987703472276,2.6890748445579766
SVM_Linear,-0.9385775333951218,0.0,-0.21688655461737877,0.9553807590127233,-0.5282868145775178,-0.13823995471820402,-0.1017946548818193,0.6918966330377102,0.4310317379119561,2.5102119877699662
KNN,-0.40791338122143567,0.21688655461737877,0.0,0.9217838451842824,-0.3056301520556124,0.18007084684737631,0.09213226747941727,0.8051822937431218,0.6147943046492343,2.393165967469901
LightGBM,-1.2862846537532295,-0.9553807590127233,-0.9217838451842824,0.0,-1.9688254895545703,-0.9852503872206511,-1.101916303091307,-0.32211499813886874,-0.689785600195342,1.4134679596756192
XGBoost,0.05902116812314314,0.5282868145775178,0.3056301520556124,1.9688254895545703,0.0,0.5116223514004118,0.6220934497069122,0.9241768032553987,0.8996444906131458,3.7473045657393818
LogisticRegression,-0.8019665602603517,0.13823995471820402,-0.18007084684737631,0.9852503872206511,-0.5116223514004118,0.0,-0.06527194693811945,0.7384833994011515,0.45162119392530387,2.6170005145727107
RandomForest,-0.39553007122726486,0.1017946548818193,-0.09213226747941727,1.101916303091307,-0.6220934497069122,0.06527194693811945,0.0,0.6470420096114778,0.5878434254112281,3.035247045894957
NaiveBayes,-1.3201064324297316,-0.6918966330377102,-0.8051822937431218,0.32211499813886874,-0.9241768032553987,-0.7384833994011515,-0.6470420096114778,0.0,-0.28137196752605775,1.5670387666975278
ExtraTrees,-1.133987703472276,-0.4310317379119561,-0.6147943046492343,0.689785600195342,-0.8996444906131458,-0.45162119392530387,-0.5878434254112281,0.28137196752605775,0.0,2.2592072014938442
GradientBoosting,-2.6890748445579766,-2.5102119877699662,-2.393165967469901,-1.4134679596756192,-3.7473045657393818,-2.6170005145727107,-3.035247045894957,-1.5670387666975278,-2.2592072014938442,0.0
