,SVM_RBF,SVM_Linear,KNN,LightGBM,XGBoost,LogisticRegression,RandomForest,NaiveBayes,ExtraTrees,GradientBoosting
SVM_RBF,1.0,0.34794769216138055,0.6833372683821886,0.198343736297089,0.9529352477762782,0.4225723019127041,0.6924517334024622,0.18679948545313685,0.25679970603668956,0.007165035254826267
SVM_Linear,0.34794769216138055,1.0,0.8282967560779754,0.3393851806311239,0.5973002818046069,0.8900507789177374,0.9189196683985785,0.48900224522943436,0.6664452935600111,0.012065870366618155
KNN,0.6833372683821886,0.8282967560779754,1.0,0.3566413356087219,0.7598862602936023,0.8570969493167337,0.9265929517298029,0.4207144925336076,0.5386905710031815,0.01670368330839833
LightGBM,0.198343736297089,0.3393851806311239,0.3566413356087219,1.0,0.04897313417370535,0.3245010959215888,0.2704980601850233,0.7473655764663838,0.49032902549272883,0.15751817572964166
XGBoost,0.9529352477762782,0.5973002818046069,0.7598862602936023,0.04897313417370535,1.0,0.6089153393321909,0.5338804218731154,0.35539427089625786,0.36830947256757274,0.00017874500400869963
LogisticRegression,0.4225723019127041,0.8900507789177374,0.8570969493167337,0.3245010959215888,0.6089153393321909,1.0,0.9479574778005422,0.46022075129453566,0.6515418991439931,0.008870620758046644
RandomForest,0.6924517334024622,0.9189196683985785,0.9265929517298029,0.2704980601850233,0.5338804218731154,0.9479574778005422,1.0,0.5176047551142924,0.556637393129457,0.00240338733827447
NaiveBayes,0.18679948545313685,0.48900224522943436,0.4207144925336076,0.7473655764663838,0.35539427089625786,0.46022075129453566,0.5176047551142924,1.0,0.7784251166182325,0.11710563047109829
ExtraTrees,0.25679970603668956,0.6664452935600111,0.5386905710031815,0.49032902549272883,0.36830947256757274,0.6515418991439931,0.556637393129457,0.7784251166182325,1.0,0.0238704990774112
GradientBoosting,0.007165035254826267,0.012065870366618155,0.01670368330839833,0.15751817572964166,0.00017874500400869963,0.008870620758046644,0.00240338733827447,0.11710563047109829,0.0238704990774112,1.0
