Model,Delta_ROC_AUC,Delta_PR_AUC,Delta_Sensitivity,Delta_Specificity,Delta_Brier,Recommendation
SVM_Linear,0.116715976331361,0.07804076306501384,0.07692307692307687,0.1346153846153846,-0.017868637938806026,LASSO favorable
SVM_RBF,0.08076923076923082,0.09371799104655998,0.01538461538461533,0.05769230769230771,-0.014058375051079153,LASSO favorable
LogisticRegression,0.06065088757396442,0.06630106755774667,0.13846153846153847,-0.019230769230769273,0.0032519598793723237,LASSO improves sensitivity but reduces specificity
KNN,0.04452662721893497,0.03896846600820347,0.13846153846153852,-0.019230769230769273,-0.029687949394582303,LASSO favorable
RandomForest,0.02159763313609464,0.03951813523096859,-0.10769230769230775,0.07692307692307698,-0.006489946564577853,LASSO favorable
LightGBM,0.014940828402366768,-0.05596255298008135,0.0,0.05769230769230771,0.011899750530959208,Mixed effect
NaiveBayes,0.007396449704142105,-0.009051067189795647,0.07692307692307698,0.0,-0.038789041720165895,Mixed effect
GradientBoosting,-0.03343195266272192,-0.06332618531488743,0.03076923076923077,-0.15384615384615385,0.000539215113988134,Baseline preferred
ExtraTrees,-0.037869822485207094,-0.029828968437932146,0.015384615384615441,0.0,0.0013574152299143383,Baseline preferred
XGBoost,-0.044674556213017746,-0.010544362681767172,-0.01538461538461533,0.019230769230769273,0.01784500253542326,Baseline preferred
