Model,Baseline_ROC_AUC,LASSO_ROC_AUC,Delta_ROC_AUC_LASSO_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_Mean,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,LASSO_PR_AUC,Delta_PR_AUC_LASSO_minus_Baseline,Paired_Bootstrap_Delta_PR_AUC_Mean,Paired_Bootstrap_Delta_PR_AUC_CI95_Low,Paired_Bootstrap_Delta_PR_AUC_CI95_High,Baseline_Balanced_Accuracy,LASSO_Balanced_Accuracy,Delta_Balanced_Accuracy,Baseline_Sensitivity,LASSO_Sensitivity,Delta_Sensitivity,Baseline_Specificity,LASSO_Specificity,Delta_Specificity,Baseline_PPV,LASSO_PPV,Delta_PPV,Baseline_NPV,LASSO_NPV,Delta_NPV,Baseline_Kappa,LASSO_Kappa,Delta_Kappa,Baseline_Brier,LASSO_Brier,Delta_Brier_LASSO_minus_Baseline,Baseline_Mean_Selected_Features,LASSO_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
SVM_RBF,0.47751479289940824,0.5318047337278107,0.05428994082840244,0.05400132946112164,-0.03328731343283587,0.14476487075677338,0.551538550022894,0.5964850706759035,0.044946520653009525,0.04371828893740006,-0.02020305508776573,0.10812960510988479,0.49423076923076925,0.5057692307692307,0.011538461538461497,0.7384615384615385,0.7230769230769231,-0.015384615384615441,0.25,0.28846153846153844,0.038461538461538436,0.5517241379310345,0.5595238095238095,0.007799671592775059,0.43333333333333335,0.45454545454545453,0.021212121212121182,-0.012048192771084487,0.011976047904191711,0.0240242406752762,0.26707977458523474,0.27525417172098005,0.008174397135745304,16.0,16.0,1.0,0.25,True,0.8333333333333334
SVM_Linear,0.48801775147928994,0.5334319526627219,0.04541420118343198,0.04656410695084362,-0.0543882560879812,0.14741563742907823,0.5785619352724249,0.5743190434222585,-0.004242891850166464,0.002555783073462396,-0.06780301259471205,0.07630184332422447,0.47500000000000003,0.5288461538461539,0.05384615384615382,0.7384615384615385,0.6153846153846154,-0.12307692307692308,0.21153846153846154,0.4423076923076923,0.23076923076923075,0.5393258426966292,0.5797101449275363,0.040384302230907054,0.39285714285714285,0.4791666666666667,0.08630952380952384,-0.05241935483870952,0.05813953488372092,0.11055888972243044,0.25844872306024413,0.2838731016502186,0.025424378589974483,16.0,16.0,3.0,0.625,True,1.0
ExtraTrees,0.5775147928994083,0.5967455621301775,0.019230769230769162,0.020925745415328476,-0.05201162636017777,0.09463939378190049,0.6381416105172156,0.6167721864707584,-0.021369424046457253,-0.01891369651288386,-0.0882391826020919,0.04996621028638866,0.5153846153846153,0.5615384615384615,0.04615384615384621,0.5692307692307692,0.5846153846153846,0.015384615384615441,0.46153846153846156,0.5384615384615384,0.07692307692307687,0.5692307692307692,0.6129032258064516,0.04367245657568242,0.46153846153846156,0.509090909090909,0.047552447552447474,0.03076923076923077,0.12237093690248568,0.09160170613325491,0.2519284442733957,0.2525107588555286,0.0005823145821328701,16.0,16.0,6.0,0.8125,True,1.0
LightGBM,0.5596153846153847,0.5763313609467455,0.016715976331360793,0.018130897710438895,-0.07574197500337183,0.10700803567040852,0.6690524633361712,0.644949671740763,-0.02410279159540818,-0.02089760530552854,-0.11035243639954387,0.0704366729931209,0.5076923076923077,0.5653846153846154,0.05769230769230771,0.47692307692307695,0.5538461538461539,0.07692307692307693,0.5384615384615384,0.5769230769230769,0.038461538461538436,0.5636363636363636,0.6206896551724138,0.05705329153605021,0.45161290322580644,0.5084745762711864,0.05686167304537998,0.015094339622641506,0.12903225806451613,0.11393791844187462,0.2699316213161555,0.3036425144082561,0.033710893092100624,16.0,16.0,7.0,1.0,True,1.0
XGBoost,0.598224852071006,0.6047337278106508,0.00650887573964487,0.007373222603172485,-0.08562367298516188,0.10384952465834808,0.6698497100959377,0.6504616700725306,-0.019388040023407105,-0.01160155434233013,-0.1056330139263456,0.08313295906521977,0.5538461538461539,0.5865384615384616,0.03269230769230769,0.5692307692307692,0.6923076923076923,0.12307692307692308,0.5384615384615384,0.4807692307692308,-0.057692307692307654,0.6065573770491803,0.625,0.018442622950819665,0.5,0.5555555555555556,0.05555555555555558,0.10687022900763354,0.17543859649122806,0.06856836748359452,0.302066601268872,0.285117806494939,-0.016948794773933018,16.0,16.0,7.0,1.0,True,1.0
LogisticRegression,0.5390532544378699,0.5414201183431954,0.002366863905325478,0.003144989846755024,-0.07403394318728937,0.08166795107856119,0.6010500094060838,0.5892149333486866,-0.011835076057397198,-0.0065986723964025365,-0.06446266219019771,0.05171350659762626,0.5346153846153846,0.5230769230769231,-0.011538461538461497,0.4153846153846154,0.4307692307692308,0.015384615384615385,0.6538461538461539,0.6153846153846154,-0.038461538461538436,0.6,0.5833333333333334,-0.016666666666666607,0.4722222222222222,0.463768115942029,-0.008454106280193219,0.06666666666666665,0.04469273743016766,-0.02197392923649899,0.2528935971593573,0.2808274097863743,0.02793381262701705,16.0,16.0,2.0,0.375,True,0.9375
GradientBoosting,0.5318047337278107,0.5289940828402366,-0.00281065088757404,-0.0013161123821270272,-0.08421517441209217,0.07949736308720652,0.6168143875181504,0.57623528812212,-0.04057909939603044,-0.0402059916231546,-0.13550479976343277,0.05421141126437018,0.5480769230769231,0.5288461538461539,-0.019230769230769273,0.6153846153846154,0.5384615384615384,-0.07692307692307698,0.4807692307692308,0.5192307692307693,0.03846153846153849,0.5970149253731343,0.5833333333333334,-0.013681592039800905,0.5,0.47368421052631576,-0.026315789473684237,0.09652509652509655,0.05714285714285716,-0.03938223938223939,0.2744415700497192,0.28766714512533853,0.013225575075619334,16.0,16.0,7.0,1.0,True,1.0
RandomForest,0.5526627218934912,0.5325443786982249,-0.020118343195266286,-0.018288895948716636,-0.08737580362361186,0.051621614603006696,0.6165389959540448,0.5800937424740246,-0.03644525348002026,-0.035200030270650016,-0.09923696681334036,0.030856090465771226,0.5769230769230769,0.551923076923077,-0.02499999999999991,0.6153846153846154,0.5846153846153846,-0.03076923076923077,0.5384615384615384,0.5192307692307693,-0.019230769230769162,0.625,0.6031746031746031,-0.02182539682539686,0.5283018867924528,0.5,-0.028301886792452824,0.15355086372360838,0.10344827586206895,-0.05010258786153943,0.26018820655964076,0.2725523225228666,0.012364115963225841,16.0,16.0,2.0,0.1875,True,0.8333333333333334
KNN,0.5329881656804734,0.4695266272189349,-0.06346153846153846,-0.06255804580869559,-0.17428788135183484,0.05410675403046626,0.5845366928917421,0.5332288576473434,-0.05130783524439875,-0.050933901366912906,-0.13996694408612229,0.0406920441705295,0.5230769230769231,0.47692307692307695,-0.046153846153846156,0.6615384615384615,0.6461538461538462,-0.01538461538461533,0.38461538461538464,0.3076923076923077,-0.07692307692307693,0.5733333333333334,0.5384615384615384,-0.034871794871794926,0.47619047619047616,0.41025641025641024,-0.06593406593406592,0.04705882352941182,-0.047337278106508895,-0.09439610163592072,0.27884357364923384,0.3100176723427138,0.03117409869347998,16.0,16.0,5.0,0.625,True,1.0
NaiveBayes,0.5902366863905325,0.505621301775148,-0.08461538461538454,-0.08341370286991569,-0.17710646651660175,0.0068093874210895244,0.6651341896472192,0.5568539477456452,-0.10828024190157393,-0.09947225460025504,-0.1847641394857197,-0.014514682848991548,0.55,0.5115384615384615,-0.03846153846153855,0.7538461538461538,0.7538461538461538,0.0,0.34615384615384615,0.2692307692307692,-0.07692307692307693,0.5903614457831325,0.5632183908045977,-0.027143054978534864,0.5294117647058824,0.4666666666666667,-0.06274509803921569,0.10358565737051784,0.02409638554216864,-0.0794892718283492,0.38958356728993215,0.42730538137329777,0.03772181408336561,16.0,16.0,0.0,0.0625,True,0.625
