fold,n_estimators,max_depth,learning_rate,subsample
1,100,1,0.07772235382026987,0.8730704498200098
2,100,1,0.07772235382026987,0.8730704498200098
3,100,1,0.06549750379683224,0.7822221241125097
4,50,3,0.06571271013022326,0.8008335850362696
5,50,3,0.06571271013022326,0.8008335850362696
