Model,Fold,ROC_AUC
LogisticRegression,1,0.7430555555555556
SVM_RBF,1,0.7569444444444444
SVM_Linear,1,0.7430555555555556
RandomForest,1,0.548611111111111
GradientBoosting,1,0.5902777777777778
ExtraTrees,1,0.7708333333333334
KNN,1,0.6805555555555556
NaiveBayes,1,0.7569444444444444
XGBoost,1,0.5277777777777778
LightGBM,1,0.6666666666666666
LogisticRegression,2,0.7214285714285714
SVM_RBF,2,0.6642857142857143
SVM_Linear,2,0.6857142857142857
RandomForest,2,0.6428571428571428
GradientBoosting,2,0.6214285714285714
ExtraTrees,2,0.6785714285714285
KNN,2,0.6785714285714286
NaiveBayes,2,0.7642857142857142
XGBoost,2,0.6785714285714286
LightGBM,2,0.5857142857142857
LogisticRegression,3,0.7916666666666666
SVM_RBF,3,0.8194444444444444
SVM_Linear,3,0.8194444444444444
RandomForest,3,0.7361111111111112
GradientBoosting,3,0.6944444444444444
ExtraTrees,3,0.7708333333333334
KNN,3,0.7152777777777777
NaiveBayes,3,0.6666666666666667
XGBoost,3,0.6805555555555556
LightGBM,3,0.7569444444444444
LogisticRegression,4,0.6722222222222223
SVM_RBF,4,0.5666666666666667
SVM_Linear,4,0.6388888888888888
RandomForest,4,0.6333333333333333
GradientBoosting,4,0.5611111111111111
ExtraTrees,4,0.6333333333333333
KNN,4,0.4416666666666666
NaiveBayes,4,0.6277777777777778
XGBoost,4,0.6555555555555556
LightGBM,4,0.6777777777777778
LogisticRegression,5,0.7380952380952381
SVM_RBF,5,0.75
SVM_Linear,5,0.7619047619047619
RandomForest,5,0.7619047619047619
GradientBoosting,5,0.738095238095238
ExtraTrees,5,0.761904761904762
KNN,5,0.8214285714285715
NaiveBayes,5,0.6309523809523809
XGBoost,5,0.6547619047619049
LightGBM,5,0.7142857142857143
