Feature,Selection_Count,Selection_Frequency,Family
Post2_IH_IntensityHistogramMode_Intensity,2,0.4,Histogram
Post1_Morph_Compacity,2,0.4,Morphology
Post1_IH_IntensityHistogramMode_Intensity,2,0.4,Histogram
ADC_Morph_Compactness2,2,0.4,Morphology
ADC_IH_IntensityHistogramMedian_Intensity,2,0.4,Histogram
Pre_GLSZM_GreyLevelVariance,2,0.4,GLSZM
ADC_IH_MaximumHistogramGradient_Intensity,1,0.2,Histogram
ADC_Morph_SphericalDisproportion,1,0.2,Morphology
Post2_IH_IntensityHistogramMedian_Intensity,1,0.2,Histogram
T2_NGTDM_Strength,1,0.2,NGTDM
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,Morphology
T2_GLRLM_LongRunHighGreyLevelEmphasis,1,0.2,GLRLM
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1,0.2,Morphology
Post1_GLCM_JointAverage,1,0.2,GLCM
Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,1,0.2,GLSZM
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1,0.2,Morphology
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,1,0.2,Morphology
ADC_IB_MaximumIntensity,1,0.2,Intensity
Pre_GLCM_ClusterShade,1,0.2,GLCM
ADC_GLCM_ClusterTendency,1,0.2,GLCM
Post1_GLRLM_HighGreyLevelRunEmphasis,1,0.2,GLRLM
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1,0.2,Morphology
Post1_IB_IntensityBasedEnergy,1,0.2,Intensity
Post1_IB_50thIntensityPercentile,1,0.2,Intensity
Post2_IH_MaximumHistogramGradientGreyLevel_Intensity,1,0.2,Histogram
Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2,Morphology
ADC_Morph_Sphericity,1,0.2,Morphology
ADC_GLSZM_GreyLevelVariance,1,0.2,GLSZM
Post1_Morph_SphericalDisproportion,1,0.2,Morphology
Pre_IH_IntensityHistogramEntropyLog10_Intensity,1,0.2,Histogram
ADC_IH_IntensityHistogram75thPercentile,1,0.2,Histogram
ADC_Morph_SurfaceToVolumeRatio_cm,1,0.2,Morphology
Post2_IB_MaximumIntensity,1,0.2,Intensity
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2,Histogram
ADC_GLCM_DifferenceAverage,1,0.2,GLCM
Post1_IB_MedianIntensity,1,0.2,Intensity
Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,1,0.2,Morphology
T2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2,Morphology
ADC_GLSZM_ZoneSizeNonUniformity,1,0.2,GLSZM
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,Morphology
Post2_IB_AreaUnderCurveCIVH,1,0.2,Other
Post2_GLSZM_SmallZoneLowGreyLevelEmphasis,1,0.2,GLSZM
