,SVM_RBF,LogisticRegression,KNN,SVM_Linear,ExtraTrees,RandomForest,NaiveBayes,XGBoost,LightGBM,GradientBoosting
SVM_RBF,0.0,0.34654969814851705,-0.269334508119135,0.8186244554963029,0.9553365386782673,0.7186000367878678,1.1108369608166864,1.8187040180305234,1.9262258706952593,2.2155970939834324
LogisticRegression,-0.34654969814851705,0.0,-0.6027397221397052,1.0846301451525808,0.6439075590622592,0.6173022363538624,0.9124945614074863,1.80857394595795,1.860623075220837,2.217706233704639
KNN,0.269334508119135,0.6027397221397052,0.0,0.9395679554760026,1.1039480336579637,1.0814159338317157,1.0844000356997543,2.075539685744779,2.359818536403236,2.3877907657220874
SVM_Linear,-0.8186244554963029,-1.0846301451525808,-0.9395679554760026,0.0,0.2668336111066333,0.25896383998272093,0.6639843552322688,1.4431445080213932,1.5206663984368651,1.8472423203493868
ExtraTrees,-0.9553365386782673,-0.6439075590622592,-1.1039480336579637,-0.2668336111066333,0.0,0.027266964221738757,0.48434772723596037,1.1359243007153919,1.3844238999401828,1.4266696552440874
RandomForest,-0.7186000367878678,-0.6173022363538624,-1.0814159338317157,-0.25896383998272093,-0.027266964221738757,0.0,0.40089499935014433,1.469540981497628,1.6504026164888106,2.0039832325801377
NaiveBayes,-1.1108369608166864,-0.9124945614074863,-1.0844000356997543,-0.6639843552322688,-0.48434772723596037,-0.40089499935014433,0.0,0.3746610253943175,0.5088916411392349,0.6960482021808173
XGBoost,-1.8187040180305234,-1.80857394595795,-2.075539685744779,-1.4431445080213932,-1.1359243007153919,-1.469540981497628,-0.3746610253943175,0.0,0.2649109173541642,0.5852599948850851
LightGBM,-1.9262258706952593,-1.860623075220837,-2.359818536403236,-1.5206663984368651,-1.3844238999401828,-1.6504026164888106,-0.5088916411392349,-0.2649109173541642,0.0,0.28926666439599197
GradientBoosting,-2.2155970939834324,-2.217706233704639,-2.3877907657220874,-1.8472423203493868,-1.4266696552440874,-2.0039832325801377,-0.6960482021808173,-0.5852599948850851,-0.28926666439599197,0.0
