Model,Fold,ROC_AUC
LogisticRegression,1,0.7986111111111112
SVM_RBF,1,0.8194444444444444
SVM_Linear,1,0.7986111111111112
RandomForest,1,0.7361111111111112
GradientBoosting,1,0.7569444444444445
ExtraTrees,1,0.7916666666666667
KNN,1,0.6770833333333334
NaiveBayes,1,0.7222222222222221
XGBoost,1,0.6875
LightGBM,1,0.6944444444444444
LogisticRegression,2,0.8071428571428572
SVM_RBF,2,0.7142857142857143
SVM_Linear,2,0.9357142857142856
RandomForest,2,0.5714285714285714
GradientBoosting,2,0.6142857142857142
ExtraTrees,2,0.6714285714285715
KNN,2,0.7214285714285714
NaiveBayes,2,0.8142857142857143
XGBoost,2,0.5428571428571429
LightGBM,2,0.65
LogisticRegression,3,0.8333333333333333
SVM_RBF,3,0.7777777777777778
SVM_Linear,3,0.8194444444444444
RandomForest,3,0.8472222222222222
GradientBoosting,3,0.7916666666666666
ExtraTrees,3,0.8055555555555556
KNN,3,0.7222222222222222
NaiveBayes,3,0.6527777777777778
XGBoost,3,0.7916666666666666
LightGBM,3,0.7083333333333334
LogisticRegression,4,0.7277777777777777
SVM_RBF,4,0.7055555555555555
SVM_Linear,4,0.7000000000000001
RandomForest,4,0.7555555555555555
GradientBoosting,4,0.638888888888889
ExtraTrees,4,0.6611111111111111
KNN,4,0.6555555555555556
NaiveBayes,4,0.6888888888888889
XGBoost,4,0.6722222222222222
LightGBM,4,0.7722222222222223
LogisticRegression,5,0.9047619047619048
SVM_RBF,5,0.9047619047619048
SVM_Linear,5,0.9285714285714286
RandomForest,5,0.8214285714285714
GradientBoosting,5,0.7857142857142857
ExtraTrees,5,0.8214285714285714
KNN,5,0.9047619047619048
NaiveBayes,5,0.6904761904761905
XGBoost,5,0.6666666666666666
LightGBM,5,0.7797619047619048
