Dataset,Run_Name,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features
ADC_Post1_Pre,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr,auto,False,SVM_Linear,0.836,0.088,0.799,0.879,0.832,0.735,0.713,0.751,0.746,9.6,28
ADC_Post1_Pre,elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr,auto,True,SVM_Linear,0.823,0.08,0.801,0.868,0.833,0.723,0.713,0.721,0.718,9.6,28
ADC_Post1_Pre,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr,auto,False,SVM_Linear,0.773,0.096,0.717,0.818,0.781,0.724,0.691,0.745,0.738,8.8,33
ADC_Post1_Pre,mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr,auto,True,LogisticRegression,0.77,0.116,0.75,0.824,0.817,0.685,0.673,0.69,0.694,8.8,33
ADC_Post1_Pre,corr_mrmr_auto_k_smote,corr_mrmr,auto,True,SVM_Linear,0.719,0.076,0.677,0.795,0.722,0.623,0.6,0.637,0.634,12.0,46
ADC_Post1_Pre,corr_mrmr_auto_k_no_smote,corr_mrmr,auto,False,SVM_Linear,0.713,0.076,0.648,0.795,0.697,0.609,0.579,0.66,0.657,12.0,46
