Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features
LightGBM,0.7182163187855787,0.76750808784484,0.6460176991150443,0.6426312460468058,0.6774193548387096,0.6078431372549019,0.6774193548387096,0.6078431372549019,0.6774193548387096,0.28526249209361165,0.22508893239368613,20.0,0.0
XGBoost,0.7039848197343453,0.7558279041999667,0.6194690265486725,0.6166982922201139,0.6451612903225806,0.5882352941176471,0.6557377049180327,0.5769230769230769,0.6504065040650406,0.23299131807419105,0.24896247171240823,20.0,0.0
LogisticRegression,0.6625553447185326,0.7356424522979343,0.5929203539823009,0.5855471220746362,0.6612903225806451,0.5098039215686274,0.6212121212121212,0.5531914893617021,0.640625,0.17229299363057327,0.23824564700819215,20.0,0.0
RandomForest,0.6565464895635674,0.7481233412105013,0.5929203539823009,0.5890259329538268,0.6290322580645161,0.5490196078431373,0.6290322580645161,0.5490196078431373,0.6290322580645161,0.17805186590765332,0.23545870141479738,20.0,0.0
ExtraTrees,0.622707147375079,0.7310624246704291,0.5929203539823009,0.5907653383934219,0.6129032258064516,0.5686274509803921,0.6333333333333333,0.5471698113207547,0.6229508196721312,0.18090135518436812,0.24596972419175722,20.0,0.0
GradientBoosting,0.618595825426945,0.6799967221182588,0.5575221238938053,0.5532890575585072,0.5967741935483871,0.5098039215686274,0.5967741935483871,0.5098039215686274,0.5967741935483871,0.10657811511701454,0.24924524479283702,20.0,0.0
SVM_Linear,0.6157495256166984,0.7137287203662419,0.584070796460177,0.5740037950664136,0.6774193548387096,0.47058823529411764,0.6086956521739131,0.5454545454545454,0.6412213740458015,0.14983191932127427,0.25766360526518284,20.0,0.0
NaiveBayes,0.5942441492726123,0.6844049365628804,0.5486725663716814,0.5313092979127135,0.7096774193548387,0.35294117647058826,0.5714285714285714,0.5,0.6330935251798561,0.06429615197272287,0.42037595194916894,20.0,0.0
SVM_RBF,0.5895003162555343,0.6789524793650576,0.5575221238938053,0.5463314358001266,0.6612903225806451,0.43137254901960786,0.5857142857142857,0.5116279069767442,0.6212121212121212,0.09397049390635026,0.26282215431245076,20.0,0.0
KNN,0.5891840607210626,0.6696528516941554,0.5663716814159292,0.56483238456673,0.5806451612903226,0.5490196078431373,0.6101694915254238,0.5185185185185185,0.5950413223140496,0.1289916627339941,0.261196201814465,20.0,0.0
