,SVM_RBF,SVM_Linear,KNN,LogisticRegression,RandomForest,ExtraTrees,GradientBoosting,XGBoost,NaiveBayes,LightGBM
SVM_RBF,0.0,-1.469913168108554,-0.4184148662636899,-1.2880821495052643,-0.6289265240851719,-0.30424231430470555,0.02931551068701114,-0.2937932212147601,0.3664118716822547,0.11426918162320003
SVM_Linear,1.469913168108554,0.0,0.5762559338388045,0.2438627207030203,0.24368224381719417,0.6483296124003071,0.9017900736766032,0.41972805818256403,1.4545367012092982,0.8363155613681484
KNN,0.4184148662636899,-0.5762559338388045,0.0,-0.505675473683393,-0.31140979215137354,0.049740250162653994,0.35945308430996425,-0.03083380688733381,0.6890722080175103,0.37697550499246635
LogisticRegression,1.2880821495052643,-0.2438627207030203,0.505675473683393,0.0,0.17738861101226797,0.5561447856268359,0.8364499022183838,0.3657464352068776,1.4255874739370622,0.781770025343032
RandomForest,0.6289265240851719,-0.24368224381719417,0.31140979215137354,-0.17738861101226797,0.0,0.40652107923847164,0.7452540433139648,0.25566905931359424,0.9355256673359633,0.8313951751018592
ExtraTrees,0.30424231430470555,-0.6483296124003071,-0.049740250162653994,-0.5561447856268359,-0.40652107923847164,0.0,0.3692777278345535,-0.08126423084720684,0.6583577846528994,0.4208797849544117
GradientBoosting,-0.02931551068701114,-0.9017900736766032,-0.35945308430996425,-0.8364499022183838,-0.7452540433139648,-0.3692777278345535,0.0,-0.5512690365252605,0.2855860224021865,0.1311657145903678
XGBoost,0.2937932212147601,-0.41972805818256403,0.03083380688733381,-0.3657464352068776,-0.25566905931359424,0.08126423084720684,0.5512690365252605,0.0,0.5733101528844486,0.8593686195969059
NaiveBayes,-0.3664118716822547,-1.4545367012092982,-0.6890722080175103,-1.4255874739370622,-0.9355256673359633,-0.6583577846528994,-0.2855860224021865,-0.5733101528844486,0.0,-0.14048188095905625
LightGBM,-0.11426918162320003,-0.8363155613681484,-0.37697550499246635,-0.781770025343032,-0.8313951751018592,-0.4208797849544117,-0.1311657145903678,-0.8593686195969059,0.14048188095905625,0.0
