Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
GradientBoosting,0.6148,+0.1621,1.77e-05,7.97e-04,✓,✓
XGBoost,0.6155,+0.1615,9.74e-04,4.38e-02,✓,✓
LightGBM,0.6614,+0.1155,4.96e-02,1.00e+00,✓,✗
RandomForest,0.6704,+0.1065,1.79e-03,8.06e-02,✓,✗
SVM_Linear,0.6756,+0.1014,1.64e-02,7.39e-01,✓,✗
ExtraTrees,0.6954,+0.0815,9.33e-03,4.20e-01,✓,✗
NaiveBayes,0.7230,+0.0539,3.75e-01,1.00e+00,✗,✗
KNN,0.7330,+0.0440,2.25e-01,1.00e+00,✗,✗
SVM_RBF,0.7630,+0.0140,1.14e-02,5.13e-01,✓,✗
