,LogisticRegression,SVM_RBF,KNN,NaiveBayes,ExtraTrees,SVM_Linear,RandomForest,LightGBM,XGBoost,GradientBoosting
LogisticRegression,0.0,2.530272836334676,1.2145555239362829,0.8862621034261448,2.5995693310029644,2.399553822411554,3.122755007772189,1.963329072102247,3.298016078566486,4.2918703379164596
SVM_RBF,-2.530272836334676,0.0,-0.25201612573676174,0.019757471581643933,1.7438760075107862,0.7839712576362253,1.6517309274496432,1.1867080392354694,2.19313806106634,3.26909931689454
KNN,-1.2145555239362829,0.25201612573676174,0.0,0.15256582296054966,1.5497797629627805,0.7926506883514213,1.5337873941849873,1.3668853239189982,2.3440242344543476,3.075868148486414
NaiveBayes,-0.8862621034261448,-0.019757471581643933,-0.15256582296054966,0.0,0.9184669998679155,0.340871006509653,0.8776409480374159,0.9281134596703041,1.5967094597145421,1.9641340232871327
ExtraTrees,-2.5995693310029644,-1.7438760075107862,-1.5497797629627805,-0.9184669998679155,0.0,-0.7392952463696696,0.0,0.2840535266028986,1.1103563811655035,1.894397812870902
SVM_Linear,-2.399553822411554,-0.7839712576362253,-0.7926506883514213,-0.340871006509653,0.7392952463696696,0.0,0.741449767512493,0.755877987935141,1.6541601594773505,2.521631393443251
RandomForest,-3.122755007772189,-1.6517309274496432,-1.5337873941849873,-0.8776409480374159,-0.0,-0.741449767512493,0.0,0.29595126535128846,1.4536638884160573,2.666747384949662
LightGBM,-1.963329072102247,-1.1867080392354694,-1.3668853239189982,-0.9281134596703041,-0.2840535266028986,-0.755877987935141,-0.29595126535128846,0.0,1.084355762069364,1.112711794880863
XGBoost,-3.298016078566486,-2.19313806106634,-2.3440242344543476,-1.5967094597145421,-1.1103563811655035,-1.6541601594773505,-1.4536638884160573,-1.084355762069364,0.0,0.4093757297437741
GradientBoosting,-4.2918703379164596,-3.26909931689454,-3.075868148486414,-1.9641340232871327,-1.894397812870902,-2.521631393443251,-2.666747384949662,-1.112711794880863,-0.4093757297437741,0.0
