Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.777 ± 0.074,0.820 ± 0.109,0.677 ± 0.074,0.693 ± 0.069,0.745 ± 0.170,0.650 ± 0.214,0.669 ± 0.131,0.736 ± 0.177,8.000 ± 0.000
SVM_RBF,0.763 ± 0.038,0.806 ± 0.085,0.696 ± 0.085,0.707 ± 0.039,0.731 ± 0.162,0.780 ± 0.241,0.720 ± 0.111,0.634 ± 0.230,8.000 ± 0.000
KNN,0.733 ± 0.061,0.738 ± 0.137,0.687 ± 0.084,0.712 ± 0.048,0.745 ± 0.170,0.740 ± 0.210,0.709 ± 0.098,0.684 ± 0.200,8.000 ± 0.000
NaiveBayes,0.723 ± 0.142,0.784 ± 0.140,0.593 ± 0.131,0.541 ± 0.089,0.585 ± 0.130,0.895 ± 0.106,0.701 ± 0.110,0.187 ± 0.228,8.000 ± 0.000
ExtraTrees,0.695 ± 0.081,0.715 ± 0.144,0.690 ± 0.127,0.701 ± 0.064,0.775 ± 0.137,0.640 ± 0.285,0.662 ± 0.175,0.762 ± 0.181,8.000 ± 0.000
SVM_Linear,0.676 ± 0.261,0.741 ± 0.155,0.685 ± 0.063,0.686 ± 0.114,0.703 ± 0.176,0.863 ± 0.196,0.742 ± 0.063,0.509 ± 0.359,8.000 ± 0.000
RandomForest,0.670 ± 0.077,0.708 ± 0.131,0.644 ± 0.063,0.654 ± 0.046,0.713 ± 0.168,0.700 ± 0.289,0.655 ± 0.130,0.608 ± 0.303,8.000 ± 0.000
LightGBM,0.661 ± 0.137,0.726 ± 0.103,0.646 ± 0.115,0.651 ± 0.109,0.712 ± 0.112,0.651 ± 0.249,0.649 ± 0.141,0.650 ± 0.248,8.000 ± 0.000
XGBoost,0.615 ± 0.034,0.686 ± 0.123,0.572 ± 0.063,0.583 ± 0.088,0.631 ± 0.154,0.692 ± 0.186,0.629 ± 0.060,0.474 ± 0.272,8.000 ± 0.000
GradientBoosting,0.615 ± 0.093,0.690 ± 0.122,0.565 ± 0.077,0.596 ± 0.092,0.658 ± 0.193,0.648 ± 0.286,0.597 ± 0.102,0.545 ± 0.310,8.000 ± 0.000
