,LogisticRegression,SVM_RBF,KNN,NaiveBayes,ExtraTrees,SVM_Linear,RandomForest,LightGBM,XGBoost,GradientBoosting
LogisticRegression,1.0,0.011397386117174365,0.2245356607932013,0.3754763051218464,0.009334082127205216,0.01641506642702012,0.0017916681903383518,0.04960794948225042,0.0009737055858328419,1.771744028228087e-05
SVM_RBF,0.011397386117174365,1.0,0.8010285994688222,0.9842368440160183,0.08118071310153363,0.4330569757043944,0.09858941498758605,0.23534280289393172,0.028297433505162176,0.0010789042424696983
KNN,0.2245356607932013,0.8010285994688222,1.0,0.8787406787357577,0.1211943858807099,0.42798136778547236,0.12508196518678028,0.17166125281073896,0.019076931799190632,0.002098906379961068
NaiveBayes,0.3754763051218464,0.9842368440160183,0.8787406787357577,1.0,0.3583744279714385,0.7332006924877816,0.3801386001582854,0.35334871846490157,0.11033048602351148,0.04951455151655374
ExtraTrees,0.009334082127205216,0.08118071310153363,0.1211943858807099,0.3583744279714385,1.0,0.4597277352199637,1.0,0.7763693609677762,0.2668454863980607,0.058172226528329415
SVM_Linear,0.01641506642702012,0.4330569757043944,0.42798136778547236,0.7332006924877816,0.4597277352199637,1.0,0.45842077849119534,0.4497223526230786,0.09809497536937516,0.01168120411895748
RandomForest,0.0017916681903383518,0.09858941498758605,0.12508196518678028,0.3801386001582854,1.0,0.45842077849119534,1.0,0.7672672996043994,0.1460395146257771,0.007658921604317172
LightGBM,0.04960794948225042,0.23534280289393172,0.17166125281073896,0.35334871846490157,0.7763693609677762,0.4497223526230786,0.7672672996043994,1.0,0.2782070900910134,0.2658322282026562
XGBoost,0.0009737055858328419,0.028297433505162176,0.019076931799190632,0.11033048602351148,0.2668454863980607,0.09809497536937516,0.1460395146257771,0.2782070900910134,1.0,0.6822639478899546
GradientBoosting,1.771744028228087e-05,0.0010789042424696983,0.002098906379961068,0.04951455151655374,0.058172226528329415,0.01168120411895748,0.007658921604317172,0.2658322282026562,0.6822639478899546,1.0
