fold,C
1,0.10330735757487258
2,0.12248861632742437
3,0.9709712361649131
4,0.0012986064044061868
5,0.8551438617483198
6,0.058701611670819935
7,0.8551438617483198
8,0.23938918670661066
9,0.006163539974787399
10,0.006057915341129006
11,0.23938918670661066
12,0.23938918670661066
13,0.003935693662090698
14,0.007613124950324073
15,0.9892646551112856
16,0.02989371260029245
17,0.014914880124867256
18,0.00010444205893399793
19,0.03378632229107723
20,0.0012986064044061868
21,0.23938918670661066
22,0.00010444205893399793
23,0.5493055744900229
24,0.04819437348329681
25,0.0002335796032387793
26,0.49519489284372503
27,0.13828871330154333
28,0.023807647805038346
29,0.023580384183073493
30,0.008974831631639773
31,0.48025878740032624
32,0.12248861632742437
33,0.0734192609718772
34,0.0006436217206187194
35,0.057281913070277954
36,0.12248861632742437
37,0.00011408746831584079
38,0.011139151374474052
39,0.1111791736024757
40,0.00026197855070654054
