Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.764 ± 0.057,0.816 ± 0.109,0.688 ± 0.066,0.701 ± 0.018,0.780 ± 0.146,0.659 ± 0.190,0.685 ± 0.085,0.744 ± 0.208,14.400 ± 4.099
LogisticRegression,0.752 ± 0.056,0.786 ± 0.135,0.688 ± 0.066,0.705 ± 0.029,0.757 ± 0.146,0.699 ± 0.221,0.694 ± 0.100,0.711 ± 0.203,14.400 ± 4.099
GradientBoosting,0.745 ± 0.055,0.782 ± 0.078,0.654 ± 0.096,0.670 ± 0.042,0.740 ± 0.159,0.653 ± 0.282,0.645 ± 0.150,0.687 ± 0.252,14.400 ± 4.099
XGBoost,0.722 ± 0.068,0.768 ± 0.099,0.645 ± 0.095,0.665 ± 0.104,0.718 ± 0.167,0.722 ± 0.205,0.681 ± 0.085,0.609 ± 0.282,14.400 ± 4.099
LightGBM,0.717 ± 0.104,0.748 ± 0.103,0.652 ± 0.078,0.666 ± 0.093,0.711 ± 0.174,0.722 ± 0.184,0.685 ± 0.081,0.611 ± 0.273,14.400 ± 4.099
KNN,0.715 ± 0.071,0.717 ± 0.132,0.692 ± 0.055,0.697 ± 0.078,0.742 ± 0.168,0.708 ± 0.105,0.711 ± 0.070,0.686 ± 0.240,14.400 ± 4.099
SVM_RBF,0.709 ± 0.045,0.742 ± 0.118,0.679 ± 0.105,0.691 ± 0.050,0.752 ± 0.151,0.655 ± 0.268,0.663 ± 0.152,0.727 ± 0.193,14.400 ± 4.099
ExtraTrees,0.705 ± 0.050,0.735 ± 0.109,0.689 ± 0.092,0.698 ± 0.019,0.761 ± 0.143,0.695 ± 0.233,0.692 ± 0.114,0.702 ± 0.234,14.400 ± 4.099
RandomForest,0.680 ± 0.083,0.747 ± 0.093,0.653 ± 0.065,0.655 ± 0.041,0.708 ± 0.115,0.694 ± 0.228,0.670 ± 0.093,0.615 ± 0.252,14.400 ± 4.099
NaiveBayes,0.668 ± 0.141,0.739 ± 0.163,0.554 ± 0.134,0.550 ± 0.103,0.596 ± 0.156,0.762 ± 0.223,0.639 ± 0.120,0.338 ± 0.290,14.400 ± 4.099
