Model,Baseline_ROC_AUC,Hier_ROC_AUC,Delta_ROC_AUC,Baseline_PR_AUC,Hier_PR_AUC,Delta_PR_AUC,Baseline_Sensitivity,Hier_Sensitivity,Delta_Sensitivity,Baseline_Specificity,Hier_Specificity,Delta_Specificity,Baseline_Kappa,Hier_Kappa,Delta_Kappa,Baseline_Brier,Hier_Brier,Delta_Brier,Baseline_Mean_Selected_Features,Hier_Mean_Selected_Features
LogisticRegression,0.607396449704142,0.607396449704142,0.0,0.6567543680314667,0.6567543680314667,0.0,0.49230769230769234,0.49230769230769234,0.0,0.6346153846153846,0.6346153846153846,0.0,0.1235955056179775,0.1235955056179775,0.0,0.2489195846948763,0.2489195846948763,0.0,6.0,6.0
SVM_RBF,0.5754437869822485,0.5754437869822485,0.0,0.6319924330720628,0.6319924330720628,0.0,0.676923076923077,0.676923076923077,0.0,0.38461538461538464,0.38461538461538464,0.0,0.06286836935166995,0.06286836935166995,0.0,0.2557940445587927,0.2557940445587927,0.0,6.0,6.0
SVM_Linear,0.5644970414201185,0.5644970414201185,0.0,0.6288758313333408,0.6288758313333408,0.0,0.676923076923077,0.676923076923077,0.0,0.36538461538461536,0.36538461538461536,0.0,0.04330708661417315,0.04330708661417315,0.0,0.254580614554151,0.254580614554151,0.0,6.0,6.0
RandomForest,0.521301775147929,0.521301775147929,0.0,0.6029964262457417,0.6029964262457417,0.0,0.5076923076923077,0.5076923076923077,0.0,0.5,0.5,0.0,0.0076045627376425395,0.0076045627376425395,0.0,0.2729644696912198,0.2729644696912198,0.0,6.0,6.0
GradientBoosting,0.541715976331361,0.541715976331361,0.0,0.5694670477467185,0.5694670477467185,0.0,0.6461538461538462,0.6461538461538462,0.0,0.46153846153846156,0.46153846153846156,0.0,0.10873786407766994,0.10873786407766994,0.0,0.25490458531334936,0.25490458531334936,0.0,6.0,6.0
ExtraTrees,0.5233727810650887,0.5233727810650887,0.0,0.5870961866673061,0.5870961866673061,0.0,0.5076923076923077,0.5076923076923077,0.0,0.46153846153846156,0.46153846153846156,0.0,-0.03053435114503822,-0.03053435114503822,0.0,0.257363216171426,0.257363216171426,0.0,6.0,6.0
KNN,0.4316568047337278,0.4316568047337278,0.0,0.5219032907911243,0.5219032907911243,0.0,0.47692307692307695,0.47692307692307695,0.0,0.4230769230769231,0.4230769230769231,0.0,-0.0992366412213741,-0.0992366412213741,0.0,0.34665244177802707,0.34665244177802707,0.0,6.0,6.0
NaiveBayes,0.5221893491124261,0.5221893491124261,0.0,0.6100505282812587,0.6100505282812587,0.0,0.6461538461538462,0.6461538461538462,0.0,0.34615384615384615,0.34615384615384615,0.0,-0.007858546168958647,-0.007858546168958647,0.0,0.3629354098955246,0.3629354098955246,0.0,6.0,6.0
XGBoost,0.6100591715976331,0.6100591715976331,0.0,0.6276520194824098,0.6276520194824098,0.0,0.6307692307692307,0.6307692307692307,0.0,0.5769230769230769,0.5769230769230769,0.0,0.2068965517241379,0.2068965517241379,0.0,0.27759377811818786,0.27759377811818786,0.0,6.0,6.0
LightGBM,0.5649408284023669,0.5649408284023669,0.0,0.6461795233874386,0.6461795233874386,0.0,0.5538461538461539,0.5538461538461539,0.0,0.5576923076923077,0.5576923076923077,0.0,0.11026615969581743,0.11026615969581743,0.0,0.2796035638237427,0.2796035638237427,0.0,6.0,6.0
