,SVM_RBF,ExtraTrees,LogisticRegression,SVM_Linear,RandomForest,NaiveBayes,KNN,GradientBoosting,LightGBM,XGBoost
SVM_RBF,1.0,0.42981213729810197,0.8666815416763519,0.8677216609700942,0.4971718810029344,0.006300365796608677,0.06300426073328814,0.11351330172672396,0.07614110619868845,0.02781692408601893
ExtraTrees,0.42981213729810197,1.0,0.3393384228333335,0.4565424933228468,0.961304316109199,0.048030017575629885,0.28309474767606013,0.29315444598598495,0.24921643871622412,0.09335765279495863
LogisticRegression,0.8666815416763519,0.3393384228333335,1.0,0.5582340540536728,0.4133974039668372,0.0023822948101084145,0.02932803433648287,0.061742916989026564,0.0535280582405141,0.018328770415358353
SVM_Linear,0.8677216609700942,0.4565424933228468,0.5582340540536728,1.0,0.5322015205728324,0.003656849733626012,0.044946830444325785,0.09407002894570933,0.09478784402348477,0.031961392654732336
RandomForest,0.4971718810029344,0.961304316109199,0.4133974039668372,0.5322015205728324,1.0,0.08876441810016152,0.34883631672610316,0.13256122726982392,0.09156730042850517,0.022975443189229984
NaiveBayes,0.006300365796608677,0.048030017575629885,0.0023822948101084145,0.003656849733626012,0.08876441810016152,1.0,0.18741904259945164,0.2845017182751678,0.46223190504140377,0.7437378164316923
KNN,0.06300426073328814,0.28309474767606013,0.02932803433648287,0.044946830444325785,0.34883631672610316,0.18741904259945164,1.0,0.9377765604468398,0.801193228319286,0.4556949484118341
GradientBoosting,0.11351330172672396,0.29315444598598495,0.061742916989026564,0.09407002894570933,0.13256122726982392,0.2845017182751678,0.9377765604468398,1.0,0.6801561256782076,0.2703821751571104
LightGBM,0.07614110619868845,0.24921643871622412,0.0535280582405141,0.09478784402348477,0.09156730042850517,0.46223190504140377,0.801193228319286,0.6801561256782076,1.0,0.45740238692694124
XGBoost,0.02781692408601893,0.09335765279495863,0.018328770415358353,0.031961392654732336,0.022975443189229984,0.7437378164316923,0.4556949484118341,0.2703821751571104,0.45740238692694124,1.0
