,SVM_RBF,ExtraTrees,LogisticRegression,SVM_Linear,RandomForest,NaiveBayes,KNN,GradientBoosting,LightGBM,XGBoost
SVM_RBF,0.0,0.7895131667437391,-0.16787509713877954,0.166553148199382,0.6789463106636189,2.731725245044688,1.8591614252780682,1.5825972016814458,1.7735289074230136,2.199858666454712
ExtraTrees,-0.7895131667437391,0.0,-0.9554732575449183,-0.7445521673936412,0.04851687482942475,1.9771027449635141,1.0733931700071289,1.0512267808597222,1.1522546689454451,1.6779459412106839
LogisticRegression,0.16787509713877954,0.9554732575449183,0.0,0.5854665469173473,0.8179295708898254,3.0379044470857353,2.179048919004534,1.8681374334962266,1.9306361970043782,2.3589085811854487
SVM_Linear,-0.166553148199382,0.7445521673936412,-0.5854665469173473,0.0,0.6246488960954544,2.9063390496230928,2.0051517130427925,1.6743082754870169,1.6706651100382532,2.144893129973586
RandomForest,-0.6789463106636189,-0.04851687482942475,-0.8179295708898254,-0.6246488960954544,0.0,1.701951725736908,0.9368488433282465,1.504078221116677,1.687187519588029,2.2738427447338503
NaiveBayes,-2.731725245044688,-1.9771027449635141,-3.0379044470857353,-2.9063390496230928,-1.701951725736908,0.0,-1.3182527793557093,-1.0702612790143193,-0.7351766707690334,-0.32690754214690987
KNN,-1.8591614252780682,-1.0733931700071289,-2.179048919004534,-2.0051517130427925,-0.9368488433282465,1.3182527793557093,0.0,-0.07806473311917314,0.2518031423565758,0.7459544217229589
GradientBoosting,-1.5825972016814458,-1.0512267808597222,-1.8681374334962266,-1.6743082754870169,-1.504078221116677,1.0702612790143193,0.07806473311917314,0.0,0.4122500912070331,1.1021828756739507
LightGBM,-1.7735289074230136,-1.1522546689454451,-1.9306361970043782,-1.6706651100382532,-1.687187519588029,0.7351766707690334,-0.2518031423565758,-0.4122500912070331,0.0,0.7431309768677115
XGBoost,-2.199858666454712,-1.6779459412106839,-2.3589085811854487,-2.144893129973586,-2.2738427447338503,0.32690754214690987,-0.7459544217229589,-1.1021828756739507,-0.7431309768677115,0.0
