Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.799 ± 0.094,0.837 ± 0.121,0.657 ± 0.187,0.690 ± 0.138,0.741 ± 0.198,0.804 ± 0.308,0.702 ± 0.182,0.576 ± 0.382,10.400 ± 6.542
LogisticRegression,0.769 ± 0.088,0.798 ± 0.135,0.710 ± 0.134,0.733 ± 0.083,0.774 ± 0.145,0.774 ± 0.266,0.729 ± 0.150,0.692 ± 0.215,10.400 ± 6.542
KNN,0.768 ± 0.064,0.805 ± 0.085,0.696 ± 0.050,0.702 ± 0.022,0.719 ± 0.119,0.774 ± 0.178,0.726 ± 0.068,0.629 ± 0.160,10.400 ± 6.542
SVM_Linear,0.760 ± 0.075,0.791 ± 0.129,0.672 ± 0.163,0.693 ± 0.122,0.724 ± 0.194,0.851 ± 0.274,0.727 ± 0.138,0.534 ± 0.379,10.400 ± 6.542
ExtraTrees,0.726 ± 0.109,0.763 ± 0.139,0.673 ± 0.141,0.695 ± 0.121,0.740 ± 0.183,0.621 ± 0.391,0.611 ± 0.287,0.769 ± 0.176,10.400 ± 6.542
RandomForest,0.714 ± 0.064,0.756 ± 0.093,0.665 ± 0.123,0.669 ± 0.088,0.728 ± 0.094,0.688 ± 0.238,0.678 ± 0.122,0.650 ± 0.185,10.400 ± 6.542
NaiveBayes,0.709 ± 0.197,0.753 ± 0.141,0.582 ± 0.172,0.568 ± 0.158,0.594 ± 0.197,0.867 ± 0.188,0.688 ± 0.149,0.268 ± 0.295,10.400 ± 6.542
XGBoost,0.677 ± 0.105,0.757 ± 0.093,0.571 ± 0.127,0.576 ± 0.114,0.614 ± 0.165,0.712 ± 0.173,0.638 ± 0.114,0.441 ± 0.212,10.400 ± 6.542
LightGBM,0.670 ± 0.039,0.714 ± 0.098,0.661 ± 0.099,0.676 ± 0.050,0.751 ± 0.182,0.680 ± 0.236,0.669 ± 0.113,0.673 ± 0.274,10.400 ± 6.542
GradientBoosting,0.665 ± 0.097,0.731 ± 0.102,0.566 ± 0.108,0.565 ± 0.113,0.598 ± 0.165,0.711 ± 0.149,0.635 ± 0.105,0.419 ± 0.225,10.400 ± 6.542
