,SVM_RBF,LogisticRegression,KNN,SVM_Linear,ExtraTrees,RandomForest,NaiveBayes,XGBoost,LightGBM,GradientBoosting
SVM_RBF,1.0,0.7289296415414382,0.7876722793217925,0.4130007097284816,0.339407535369629,0.47238739071852753,0.2666385339290164,0.06895659839513939,0.05407617683860382,0.026719108067724248
LogisticRegression,0.7289296415414382,1.0,0.5466818520412832,0.27808549806296634,0.5196353797646502,0.5370353920358546,0.36150843119723286,0.07051721919420727,0.06279742385615979,0.026574868944311412
KNN,0.7876722793217925,0.5466818520412832,1.0,0.34743921971423497,0.26961568071171504,0.2795121370013599,0.27818746791840043,0.0379365447585928,0.01828387633297013,0.016949988725553488
SVM_Linear,0.4130007097284816,0.27808549806296634,0.34743921971423497,1.0,0.7895972742758963,0.7956631404969517,0.5067003242675254,0.1489797676970984,0.12834357501171875,0.06471202835852351
ExtraTrees,0.339407535369629,0.5196353797646502,0.26961568071171504,0.7895972742758963,1.0,0.9782468057983135,0.6281391094564577,0.25598824705236223,0.16622869498025827,0.15367513621346757
RandomForest,0.47238739071852753,0.5370353920358546,0.2795121370013599,0.7956631404969517,0.9782468057983135,1.0,0.6884974317780208,0.14168611472257395,0.09886061632604536,0.04507185658944127
NaiveBayes,0.2666385339290164,0.36150843119723286,0.27818746791840043,0.5067003242675254,0.6281391094564577,0.6884974317780208,1.0,0.707912581540868,0.6108281793551865,0.48639864344935246
XGBoost,0.06895659839513939,0.07051721919420727,0.0379365447585928,0.1489797676970984,0.25598824705236223,0.14168611472257395,0.707912581540868,1.0,0.7910780878849987,0.5583729098446508
LightGBM,0.05407617683860382,0.06279742385615979,0.01828387633297013,0.12834357501171875,0.16622869498025827,0.09886061632604536,0.6108281793551865,0.7910780878849987,1.0,0.7723773203192617
GradientBoosting,0.026719108067724248,0.026574868944311412,0.016949988725553488,0.06471202835852351,0.15367513621346757,0.04507185658944127,0.48639864344935246,0.5583729098446508,0.7723773203192617,1.0
