FS_METHOD,Mean_ROC_AUC,Median_ROC_AUC,Mean_PR_AUC,Mean_Balanced_Accuracy,Mean_Sensitivity,Mean_Specificity,Mean_Kappa,Mean_Brier,Mean_Selected_Features,Number_of_Model_Wins,Unique_Selected_Features,Top5_Mean_Selection_Frequency,Top10_Mean_Selection_Frequency,Max_Selection_Frequency,Rank_Mean_ROC_AUC,Rank_Mean_PR_AUC,Rank_Mean_Balanced_Accuracy,Rank_Mean_Sensitivity,Rank_Mean_Brier,Rank_Model_Wins,Rank_Stability,Global_Composite_Rank_Score
Baseline_FS,0.5678254437869823,0.5744082840236686,0.6339051830965913,0.5540384615384616,0.6523076923076923,0.45576923076923076,0.10952362132797604,0.2733405071832231,16.0,5.0,43,1.0,0.9,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.4500000000000002
RFE_only,0.5678254437869823,0.5744082840236686,0.6339051830965913,0.5540384615384616,0.6523076923076923,0.45576923076923076,0.10952362132797604,0.2733405071832231,16.0,0.0,43,1.0,0.9,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.6500000000000001
LASSO_only,0.5822485207100592,0.5829881656804734,0.6371031836777592,0.5461538461538462,0.6153846153846153,0.4769230769230769,0.0925375023098384,0.278262645059601,7.8,5.0,24,0.6799999999999999,0.5,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.9
