FS_METHOD,Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features,Mean_Fold_AUC,Std_Fold_AUC,Rank_ROC_AUC,Rank_PR_AUC,Rank_Balanced_Accuracy,Rank_Sensitivity,Rank_Specificity,Rank_Kappa,Rank_Brier,Composite_Rank_Score
Baseline_FS,ExtraTrees,0.5396449704142012,0.6083126420792835,0.5299145299145299,0.5230769230769231,0.5846153846153846,0.46153846153846156,0.5757575757575758,0.47058823529411764,0.5801526717557252,0.046242774566473965,0.25328585950331006,16.0,0.0,0.5531200897867564,0.14180497011339857,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.65
LASSO_only,GradientBoosting,0.5483727810650887,0.595933034621536,0.5042735042735043,0.5,0.5384615384615384,0.46153846153846156,0.5555555555555556,0.4444444444444444,0.546875,0.0,0.2732755276729014,7.8,4.54972526643093,0.565580808080808,0.15057307474632503,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.3
Baseline_FS,KNN,0.5775147928994083,0.6235051588999456,0.6068376068376068,0.5826923076923077,0.8,0.36538461538461536,0.611764705882353,0.59375,0.6933333333333334,0.17200000000000004,0.24915562425465154,16.0,0.0,0.5901795735129068,0.09268650275002578,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.1
LASSO_only,LightGBM,0.6025147928994083,0.6523233723611452,0.5042735042735043,0.5038461538461538,0.5076923076923077,0.5,0.559322033898305,0.4482758620689655,0.532258064516129,0.0076045627376425395,0.27547736195420724,7.8,4.54972526643093,0.62881734006734,0.13075837813863322,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.6
Baseline_FS,LogisticRegression,0.5997041420118343,0.6673510769638304,0.5897435897435898,0.5942307692307692,0.5538461538461539,0.6346153846153846,0.6545454545454545,0.532258064516129,0.6,0.18490566037735845,0.2561455570387296,16.0,0.0,0.6275841750841751,0.04565392269348322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baseline_FS,NaiveBayes,0.5976331360946746,0.6560831224574235,0.6153846153846154,0.5884615384615385,0.8307692307692308,0.34615384615384615,0.6136363636363636,0.6206896551724138,0.7058823529411765,0.18511066398390352,0.35079452556976626,16.0,0.0,0.6049410774410775,0.04508708952868915,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.15
Baseline_FS,RandomForest,0.5742603550295858,0.6560571311850134,0.5555555555555556,0.5615384615384615,0.5076923076923077,0.6153846153846154,0.6226415094339622,0.5,0.559322033898305,0.12030075187969924,0.2536982599950629,16.0,0.0,0.6069781144781144,0.14022215639157498,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.15
LASSO_only,SVM_Linear,0.6059171597633135,0.6807794887552694,0.6239316239316239,0.6115384615384616,0.7230769230769231,0.5,0.6438356164383562,0.5909090909090909,0.6811594202898551,0.2265625,0.2577564193113756,7.8,4.54972526643093,0.6278430134680134,0.10271369914567186,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.5
LASSO_only,SVM_RBF,0.6147928994082841,0.6838588087421287,0.6239316239316239,0.6153846153846154,0.6923076923076923,0.5384615384615384,0.6521739130434783,0.5833333333333334,0.6716417910447762,0.2325581395348838,0.2545526314267442,7.8,4.54972526643093,0.6518322109988777,0.1165397865994447,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.5
LASSO_only,XGBoost,0.577810650887574,0.5968935930464503,0.5641025641025641,0.5634615384615385,0.5692307692307692,0.5576923076923077,0.6166666666666667,0.5087719298245614,0.592,0.12571428571428578,0.2853968345504881,7.8,4.54972526643093,0.5929222783389451,0.10762260096171064,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.4000000000000001
