FS_METHOD,Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features,Mean_Fold_AUC,Std_Fold_AUC
Baseline_FS,LogisticRegression,0.5997041420118343,0.6673510769638304,0.5897435897435898,0.5942307692307692,0.5538461538461539,0.6346153846153846,0.6545454545454545,0.532258064516129,0.6,0.18490566037735845,0.2561455570387296,16.0,0.0,0.6275841750841751,0.04565392269348322
Baseline_FS,SVM_RBF,0.558284023668639,0.645256541069454,0.5555555555555556,0.5307692307692308,0.7538461538461538,0.3076923076923077,0.5764705882352941,0.5,0.6533333333333333,0.06400000000000006,0.2530213995341556,16.0,0.0,0.5833263187429854,0.18123969350673014
Baseline_FS,SVM_Linear,0.6047337278106509,0.6566026983374388,0.6068376068376068,0.5807692307692307,0.8153846153846154,0.34615384615384615,0.6091954022988506,0.6,0.6973684210526315,0.1686746987951806,0.2405800851214381,16.0,0.0,0.6514856902356903,0.09515841044132055
Baseline_FS,RandomForest,0.5742603550295858,0.6560571311850134,0.5555555555555556,0.5615384615384615,0.5076923076923077,0.6153846153846154,0.6226415094339622,0.5,0.559322033898305,0.12030075187969924,0.2536982599950629,16.0,0.0,0.6069781144781144,0.14022215639157498
Baseline_FS,GradientBoosting,0.49837278106508875,0.553488202203263,0.5042735042735043,0.4865384615384616,0.6461538461538462,0.3269230769230769,0.5454545454545454,0.425,0.5915492957746479,-0.027559055118110187,0.27498078516370733,16.0,0.0,0.5375617283950618,0.11426005545607036
Baseline_FS,ExtraTrees,0.5396449704142012,0.6083126420792835,0.5299145299145299,0.5230769230769231,0.5846153846153846,0.46153846153846156,0.5757575757575758,0.47058823529411764,0.5801526717557252,0.046242774566473965,0.25328585950331006,16.0,0.0,0.5531200897867564,0.14180497011339857
Baseline_FS,KNN,0.5775147928994083,0.6235051588999456,0.6068376068376068,0.5826923076923077,0.8,0.36538461538461536,0.611764705882353,0.59375,0.6933333333333334,0.17200000000000004,0.24915562425465154,16.0,0.0,0.5901795735129068,0.09268650275002578
Baseline_FS,NaiveBayes,0.5976331360946746,0.6560831224574235,0.6153846153846154,0.5884615384615385,0.8307692307692308,0.34615384615384615,0.6136363636363636,0.6206896551724138,0.7058823529411765,0.18511066398390352,0.35079452556976626,16.0,0.0,0.6049410774410775,0.04508708952868915
Baseline_FS,XGBoost,0.5535502958579882,0.6593053474141706,0.5555555555555556,0.5557692307692308,0.5538461538461539,0.5576923076923077,0.6101694915254238,0.5,0.5806451612903226,0.11026615969581743,0.3199116038042953,16.0,0.0,0.6212205387205387,0.15679927291202095
Baseline_FS,LightGBM,0.5745562130177515,0.6130899103560898,0.5299145299145299,0.5365384615384615,0.47692307692307695,0.5961538461538461,0.5961538461538461,0.47692307692307695,0.5299145299145299,0.07129455909943727,0.2818313718471147,16.0,0.0,0.6248737373737374,0.1629308017332933
LASSO_only,LogisticRegression,0.5902366863905325,0.6549131646145527,0.5384615384615384,0.5365384615384616,0.5538461538461539,0.5192307692307693,0.5901639344262295,0.48214285714285715,0.5714285714285714,0.0725190839694656,0.2565935388248354,7.8,4.54972526643093,0.6000939955106622,0.1236520700980324
LASSO_only,SVM_RBF,0.6147928994082841,0.6838588087421287,0.6239316239316239,0.6153846153846154,0.6923076923076923,0.5384615384615384,0.6521739130434783,0.5833333333333334,0.6716417910447762,0.2325581395348838,0.2545526314267442,7.8,4.54972526643093,0.6518322109988777,0.1165397865994447
