FS_METHOD,Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features,Mean_Fold_AUC,Std_Fold_AUC
LASSO_only,SVM_Linear,0.6059171597633135,0.6807794887552694,0.6239316239316239,0.6115384615384616,0.7230769230769231,0.5,0.6438356164383562,0.5909090909090909,0.6811594202898551,0.2265625,0.2577564193113756,7.8,4.54972526643093,0.6278430134680134,0.10271369914567186
LASSO_only,RandomForest,0.5727810650887575,0.6505739265113095,0.5470085470085471,0.5480769230769231,0.5384615384615384,0.5576923076923077,0.603448275862069,0.4915254237288136,0.5691056910569106,0.09487666034155595,0.26567331469589217,7.8,4.54972526643093,0.6150420875420876,0.1768196362226926
LASSO_only,GradientBoosting,0.5483727810650887,0.595933034621536,0.5042735042735043,0.5,0.5384615384615384,0.46153846153846156,0.5555555555555556,0.4444444444444444,0.546875,0.0,0.2732755276729014,7.8,4.54972526643093,0.565580808080808,0.15057307474632503
LASSO_only,ExtraTrees,0.5662721893491124,0.6069267062426005,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5932203389830508,0.4827586206896552,0.5645161290322581,0.07604562737642584,0.2483320286934528,7.8,4.54972526643093,0.5762906846240179,0.15023856452122006
LASSO_only,KNN,0.555621301775148,0.6120161784595667,0.5555555555555556,0.5442307692307693,0.6461538461538462,0.4423076923076923,0.5915492957746479,0.5,0.6176470588235294,0.08949416342412453,0.28671272034667084,7.8,4.54972526643093,0.5405225869809204,0.0712659972696829
LASSO_only,NaiveBayes,0.5881656804733728,0.6368135634230334,0.5384615384615384,0.5,0.8461538461538461,0.15384615384615385,0.5555555555555556,0.4444444444444444,0.6707317073170732,0.0,0.3788560731194427,7.8,4.54972526643093,0.6127833894500562,0.14491605379164432
LASSO_only,XGBoost,0.577810650887574,0.5968935930464503,0.5641025641025641,0.5634615384615385,0.5692307692307692,0.5576923076923077,0.6166666666666667,0.5087719298245614,0.592,0.12571428571428578,0.2853968345504881,7.8,4.54972526643093,0.5929222783389451,0.10762260096171064
LASSO_only,LightGBM,0.6025147928994083,0.6523233723611452,0.5042735042735043,0.5038461538461538,0.5076923076923077,0.5,0.559322033898305,0.4482758620689655,0.532258064516129,0.0076045627376425395,0.27547736195420724,7.8,4.54972526643093,0.62881734006734,0.13075837813863322
RFE_only,LogisticRegression,0.5997041420118343,0.6673510769638304,0.5897435897435898,0.5942307692307692,0.5538461538461539,0.6346153846153846,0.6545454545454545,0.532258064516129,0.6,0.18490566037735845,0.2561455570387296,16.0,0.0,0.6275841750841751,0.04565392269348322
RFE_only,SVM_RBF,0.558284023668639,0.645256541069454,0.5555555555555556,0.5307692307692308,0.7538461538461538,0.3076923076923077,0.5764705882352941,0.5,0.6533333333333333,0.06400000000000006,0.2530213995341556,16.0,0.0,0.5833263187429854,0.18123969350673014
RFE_only,SVM_Linear,0.6047337278106509,0.6566026983374388,0.6068376068376068,0.5807692307692307,0.8153846153846154,0.34615384615384615,0.6091954022988506,0.6,0.6973684210526315,0.1686746987951806,0.2405800851214381,16.0,0.0,0.6514856902356903,0.09515841044132055
RFE_only,RandomForest,0.5742603550295858,0.6560571311850134,0.5555555555555556,0.5615384615384615,0.5076923076923077,0.6153846153846154,0.6226415094339622,0.5,0.559322033898305,0.12030075187969924,0.2536982599950629,16.0,0.0,0.6069781144781144,0.14022215639157498
RFE_only,GradientBoosting,0.49837278106508875,0.553488202203263,0.5042735042735043,0.4865384615384616,0.6461538461538462,0.3269230769230769,0.5454545454545454,0.425,0.5915492957746479,-0.027559055118110187,0.27498078516370733,16.0,0.0,0.5375617283950618,0.11426005545607036
RFE_only,ExtraTrees,0.5396449704142012,0.6083126420792835,0.5299145299145299,0.5230769230769231,0.5846153846153846,0.46153846153846156,0.5757575757575758,0.47058823529411764,0.5801526717557252,0.046242774566473965,0.25328585950331006,16.0,0.0,0.5531200897867564,0.14180497011339857
RFE_only,KNN,0.5775147928994083,0.6235051588999456,0.6068376068376068,0.5826923076923077,0.8,0.36538461538461536,0.611764705882353,0.59375,0.6933333333333334,0.17200000000000004,0.24915562425465154,16.0,0.0,0.5901795735129068,0.09268650275002578
RFE_only,NaiveBayes,0.5976331360946746,0.6560831224574235,0.6153846153846154,0.5884615384615385,0.8307692307692308,0.34615384615384615,0.6136363636363636,0.6206896551724138,0.7058823529411765,0.18511066398390352,0.35079452556976626,16.0,0.0,0.6049410774410775,0.04508708952868915
RFE_only,XGBoost,0.5535502958579882,0.6593053474141706,0.5555555555555556,0.5557692307692308,0.5538461538461539,0.5576923076923077,0.6101694915254238,0.5,0.5806451612903226,0.11026615969581743,0.3199116038042953,16.0,0.0,0.6212205387205387,0.15679927291202095
RFE_only,LightGBM,0.5745562130177515,0.6130899103560898,0.5299145299145299,0.5365384615384615,0.47692307692307695,0.5961538461538461,0.5961538461538461,0.47692307692307695,0.5299145299145299,0.07129455909943727,0.2818313718471147,16.0,0.0,0.6248737373737374,0.1629308017332933
