Feature,Feature_Family
Post2_Morph_Volume_cm3,Morphological
Post2_Morph_ApproximateVolume_cm3,Morphological
Post2_Morph_voxelsCounting_vx,Morphological
Post2_Morph_SurfaceArea_cm2,Morphological
Post2_Morph_SurfaceToVolumeRatio_cm,Morphological
Post2_Morph_Compacity,Morphological
Post2_Morph_Compactness1,Morphological
Post2_Morph_Compactness2,Morphological
Post2_Morph_SphericalDisproportion,Morphological
Post2_Morph_Sphericity,Morphological
Post2_Morph_Asphericity,Morphological
Post2_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,Morphological
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morphological
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morphological
Post2_Morph_CentreOfMassShift_mm,Morphological
Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,Morphological
Post2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,Morphological
Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,Morphological
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morphological
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morphological
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Morphological
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morphological
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morphological
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,Morphological
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morphological
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morphological
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morphological
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morphological
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morphological
Post2_Morph_Maximum3DDiameter_mm,Morphological
Post2_Morph_SphereDiameter_mm,Morphological
Post2_Morph_IntegratedIntensity_Intensity,Morphological
Post2_IB_MeanIntensity,IB
Post2_IB_IntensityVariance,IB
Post2_IB_IntensitySkewness,IB
Post2_IB_IntensityKurtosis,IB
Post2_IB_MedianIntensity,IB
Post2_IB_MinimumIntensity,IB
Post2_IB_10thIntensityPercentile,IB
Post2_IB_25thIntensityPercentile,IB
Post2_IB_50thIntensityPercentile,IB
Post2_IB_75thIntensityPercentile,IB
Post2_IB_90thIntensityPercentile,IB
Post2_IB_StandardDeviation,IB
Post2_IB_MaximumIntensity,IB
Post2_IB_IntensityInterquartileRange,IB
Post2_IB_IntensityRange,IB
Post2_IB_IntensityBasedMeanAbsoluteDeviation,IB
Post2_IB_IntensityBasedRobustMeanAbsoluteDeviation,IB
Post2_IB_IntensityBasedMedianAbsoluteDeviation,IB
Post2_IB_IntensityBasedCoefficientOfVariation,IB
Post2_IB_IntensityBasedQuartileCoefficientOfDispersion,IB
Post2_IB_AreaUnderCurveCIVH,IB
Post2_IB_IntensityBasedEnergy,IB
Post2_IB_RootMeanSquareIntensity,IB
Post2_IB_TotalLesionGlycolysis,IB
Post2_IH_IntensityHistogramMean_Intensity,HI
Post2_IH_IntensityHistogramVariance_Intensity,HI
Post2_IH_IntensityHistogramSkewness_Intensity,HI
Post2_IH_IntensityHistogramKurtosis_Intensity,HI
Post2_IH_IntensityHistogramMedian_Intensity,HI
Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity,HI
Post2_IH_IntensityHistogram10thPercentile,HI
Post2_IH_IntensityHistogram25thPercentile,HI
Post2_IH_IntensityHistogram50thPercentile,HI
Post2_IH_IntensityHistogram75thPercentile,HI
Post2_IH_IntensityHistogram90thPercentile,HI
Post2_IH_IntensityHistogramStd_Intensity,HI
Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity,HI
Post2_IH_IntensityHistogramMode_Intensity,HI
Post2_IH_IntensityHistogramInterquartileRange_Intensity,HI
Post2_IH_IntensityHistogramRange_Intensity,HI
Post2_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,HI
Post2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,HI
Post2_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,HI
Post2_IH_IntensityHistogramCoefficientOfVariation_Intensity,HI
Post2_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,HI
Post2_IH_IntensityHistogramEntropyLog10_Intensity,HI
Post2_IH_IntensityHistogramEntropyLog2_Intensity,HI
Post2_IH_AreaUnderCurveCIVH_Intensity,HI
Post2_IH_Uniformity_Intensity,HI
Post2_IH_RootMeanSquare_Intensity,HI
Post2_IH_MaximumHistogramGradient_Intensity,HI
Post2_IH_MaximumHistogramGradientGreyLevel_Intensity,HI
Post2_IH_MinimumHistogramGradient_Intensity,HI
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,HI
Post2_GLCM_JointMaximum,GLCM
Post2_GLCM_JointAverage,GLCM
Post2_GLCM_JointVariance,GLCM
Post2_GLCM_JointEntropyLog2,GLCM
Post2_GLCM_JointEntropyLog10,GLCM
Post2_GLCM_DifferenceAverage,GLCM
Post2_GLCM_DifferenceVariance,GLCM
Post2_GLCM_DifferenceEntropy,GLCM
Post2_GLCM_SumAverage,GLCM
Post2_GLCM_SumVariance,GLCM
Post2_GLCM_SumEntropy,GLCM
Post2_GLCM_AngularSecondMoment,GLCM
Post2_GLCM_Contrast,GLCM
Post2_GLCM_Dissimilarity,GLCM
Post2_GLCM_InverseDifference,GLCM
Post2_GLCM_NormalisedInverseDifference,GLCM
Post2_GLCM_InverseDifferenceMoment,GLCM
Post2_GLCM_NormalisedInverseDifferenceMoment,GLCM
Post2_GLCM_InverseVariance,GLCM
