fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.6358024691358025,0.7741156969201346,0.6666666666666666,0.5277777777777778,0.7906976744186046,0.68,0.9444444444444444,10
2,0.7171717171717171,0.7882698406762578,0.6,0.6262626262626263,0.5,0.8,0.36363636363636365,10
3,0.7625,0.8338369318240018,0.5161290322580645,0.5020833333333333,0.6666666666666666,0.5172413793103449,0.9375,10
4,0.6,0.7033515096015096,0.6538461538461539,0.64375,0.7096774193548387,0.7333333333333333,0.6875,10
5,0.5277777777777778,0.4159090909090909,0.3076923076923077,0.3611111111111111,0.3076923076923077,0.2222222222222222,0.5,10
6,0.6444444444444445,0.6391827616827617,0.5263157894736842,0.5333333333333333,0.47058823529411764,0.5714285714285714,0.4,10
7,0.8571428571428571,0.9183067429741398,0.7741935483870968,0.6761904761904762,0.851063829787234,0.7692307692307693,0.9523809523809523,10
8,0.6242424242424243,0.6800891145582714,0.5405405405405406,0.5818181818181818,0.48484848484848486,0.7272727272727273,0.36363636363636365,10
9,1.0,1.0,0.2857142857142857,0.5,0.4444444444444444,0.2857142857142857,1.0,10
10,0.6846153846153846,0.7297619047619046,0.4782608695652174,0.5269230769230769,0.6,0.45,0.9,10
11,0.7823529411764707,0.6912212349054454,0.5555555555555556,0.6264705882352941,0.6,0.45,0.9,10
12,0.5777777777777777,0.7169841331972844,0.5357142857142857,0.5055555555555555,0.6285714285714286,0.6470588235294118,0.6111111111111112,10
13,0.6411764705882352,0.8107463614816557,0.48148148148148145,0.4852941176470588,0.5333333333333333,0.6153846153846154,0.47058823529411764,10
14,0.6875,0.5313852813852814,0.5625,0.4583333333333333,0.2222222222222222,0.2,0.25,10
15,0.8958333333333334,0.9805183531746032,0.7894736842105263,0.875,0.8571428571428571,1.0,0.75,10
