k,mean_score,std_score,fold_scores,metric,tuning_model
18,0.6689940577249575,0.03967443209867523,"[0.6129032258064515, 0.6958333333333334, 0.6982456140350878]",auc,LogisticRegression
12,0.6609389737785324,0.08018224323710872,"[0.5483870967741935, 0.7291666666666667, 0.7052631578947369]",auc,LogisticRegression
16,0.6606371439351065,0.05249096706776366,"[0.5887096774193548, 0.7125, 0.6807017543859649]",auc,LogisticRegression
20,0.6580244293529524,0.017651367415971012,"[0.6330645161290323, 0.6708333333333334, 0.6701754385964912]",auc,LogisticRegression
10,0.6556569515185814,0.1088047372805077,"[0.5040322580645161, 0.7541666666666667, 0.7087719298245615]",auc,LogisticRegression
14,0.6432984342576873,0.08613966960622785,"[0.5241935483870968, 0.7250000000000001, 0.6807017543859649]",auc,LogisticRegression
8,0.5830503678551217,0.09821635959023907,"[0.4596774193548387, 0.7, 0.5894736842105264]",auc,LogisticRegression
6,0.5367666478023015,0.07090434945086369,"[0.44758064516129037, 0.5416666666666667, 0.6210526315789473]",auc,LogisticRegression
4,0.489466610073571,0.0285652745109411,"[0.467741935483871, 0.4708333333333333, 0.5298245614035088]",auc,LogisticRegression
