Feature,Feature_Family
Morph_Volume_cm3,Morphological
Morph_ApproximateVolume_cm3,Morphological
Morph_voxelsCounting_vx,Morphological
Morph_SurfaceArea_cm2,Morphological
Morph_SurfaceToVolumeRatio_cm,Morphological
Morph_Compacity,Morphological
Morph_Compactness1,Morphological
Morph_Compactness2,Morphological
Morph_SphericalDisproportion,Morphological
Morph_Sphericity,Morphological
Morph_Asphericity,Morphological
Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,Morphological
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morphological
Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morphological
Morph_CentreOfMassShift_mm,Morphological
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,Morphological
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,Morphological
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,Morphological
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morphological
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morphological
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Morphological
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morphological
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morphological
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,Morphological
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morphological
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morphological
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morphological
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morphological
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morphological
Morph_Maximum3DDiameter_mm,Morphological
Morph_SphereDiameter_mm,Morphological
Morph_IntegratedIntensity_Intensity,Morphological
IB_MeanIntensity,IB
IB_IntensityVariance,IB
IB_IntensitySkewness,IB
IB_IntensityKurtosis,IB
IB_MedianIntensity,IB
IB_MinimumIntensity,IB
IB_10thIntensityPercentile,IB
IB_25thIntensityPercentile,IB
IB_50thIntensityPercentile,IB
IB_75thIntensityPercentile,IB
IB_90thIntensityPercentile,IB
IB_StandardDeviation,IB
IB_MaximumIntensity,IB
IB_IntensityInterquartileRange,IB
IB_IntensityRange,IB
IB_IntensityBasedMeanAbsoluteDeviation,IB
