,KNN,SVM_RBF,SVM_Linear,NaiveBayes,RandomForest,LogisticRegression,ExtraTrees,LightGBM,XGBoost,GradientBoosting
KNN,1.0,0.6514850440744445,0.5552259091623135,0.272307881310909,0.11128966965603458,0.5263825615735706,0.03732095325812253,0.0010893764243300856,0.0026540205803892605,0.00010787517382233336
SVM_RBF,0.6514850440744445,1.0,0.6503874942555816,0.2629907403950559,0.1759512819238659,0.5925317082876258,0.002046774770808565,0.0023088138075288197,0.004719142154765628,0.00037928415680951467
SVM_Linear,0.5552259091623135,0.6503874942555816,1.0,0.32205321351014304,0.3840921794139105,0.956695060025644,0.03765733523818956,0.003611354653245273,0.0180105753683408,0.0013762919798038739
NaiveBayes,0.272307881310909,0.2629907403950559,0.32205321351014304,1.0,0.8638260747504705,0.32578962445755344,0.7927106640484312,0.130854657872586,0.26989394351438467,0.08554454303181232
RandomForest,0.11128966965603458,0.1759512819238659,0.3840921794139105,0.8638260747504705,1.0,0.3873829540782836,0.3725563424390045,0.012514790054195417,0.027395273992769233,0.0036928623641603077
LogisticRegression,0.5263825615735706,0.5925317082876258,0.956695060025644,0.32578962445755344,0.3873829540782836,1.0,0.04731125960827582,0.0037449042552046194,0.014037197707315173,0.001915634291958249
ExtraTrees,0.03732095325812253,0.002046774770808565,0.03765733523818956,0.7927106640484312,0.3725563424390045,0.04731125960827582,1.0,0.06548446017047681,0.1868441876765904,0.022795025913018695
LightGBM,0.0010893764243300856,0.0023088138075288197,0.003611354653245273,0.130854657872586,0.012514790054195417,0.0037449042552046194,0.06548446017047681,1.0,0.4137310263193166,0.7939435800615857
XGBoost,0.0026540205803892605,0.004719142154765628,0.0180105753683408,0.26989394351438467,0.027395273992769233,0.014037197707315173,0.1868441876765904,0.4137310263193166,1.0,0.2676275446226798
GradientBoosting,0.00010787517382233336,0.00037928415680951467,0.0013762919798038739,0.08554454303181232,0.0036928623641603077,0.001915634291958249,0.022795025913018695,0.7939435800615857,0.2676275446226798,1.0
