Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
KNN,0.767 ± 0.110,0.798 ± 0.066,0.695 ± 0.080,0.679 ± 0.069,0.733 ± 0.133,0.570 ± 0.236,0.626 ± 0.167,0.787 ± 0.100,7.200 ± 3.633
SVM_RBF,0.712 ± 0.112,0.786 ± 0.126,0.676 ± 0.031,0.655 ± 0.072,0.711 ± 0.248,0.590 ± 0.202,0.625 ± 0.170,0.719 ± 0.227,7.200 ± 3.633
SVM_Linear,0.709 ± 0.102,0.754 ± 0.189,0.675 ± 0.047,0.666 ± 0.027,0.661 ± 0.150,0.704 ± 0.152,0.669 ± 0.125,0.628 ± 0.099,7.200 ± 3.633
NaiveBayes,0.706 ± 0.044,0.753 ± 0.179,0.604 ± 0.037,0.575 ± 0.036,0.573 ± 0.137,0.775 ± 0.195,0.645 ± 0.138,0.376 ± 0.209,7.200 ± 3.633
RandomForest,0.701 ± 0.104,0.769 ± 0.120,0.655 ± 0.090,0.637 ± 0.126,0.691 ± 0.299,0.602 ± 0.199,0.621 ± 0.211,0.673 ± 0.256,7.200 ± 3.633
LogisticRegression,0.694 ± 0.096,0.740 ± 0.201,0.686 ± 0.027,0.659 ± 0.059,0.679 ± 0.203,0.625 ± 0.212,0.641 ± 0.183,0.692 ± 0.158,7.200 ± 3.633
ExtraTrees,0.689 ± 0.105,0.769 ± 0.123,0.654 ± 0.098,0.647 ± 0.120,0.701 ± 0.306,0.582 ± 0.216,0.607 ± 0.219,0.711 ± 0.206,7.200 ± 3.633
LightGBM,0.667 ± 0.050,0.728 ± 0.099,0.577 ± 0.124,0.585 ± 0.084,0.598 ± 0.220,0.637 ± 0.183,0.587 ± 0.174,0.533 ± 0.198,7.200 ± 3.633
XGBoost,0.629 ± 0.067,0.722 ± 0.119,0.633 ± 0.039,0.635 ± 0.057,0.697 ± 0.243,0.625 ± 0.184,0.614 ± 0.120,0.644 ± 0.268,7.200 ± 3.633
GradientBoosting,0.613 ± 0.043,0.697 ± 0.088,0.556 ± 0.085,0.542 ± 0.084,0.558 ± 0.212,0.500 ± 0.176,0.518 ± 0.188,0.585 ± 0.099,7.200 ± 3.633
