fold,n_estimators,max_depth,learning_rate,subsample
1,25,2,0.07786135445417827,0.7627606366351568
2,25,2,0.01087617173758401,0.9671234690326227
3,100,1,0.03970483329496214,0.8811413617128561
4,100,1,0.07772235382026987,0.8730704498200098
5,75,1,0.026577711982616582,0.9534328396959711
