Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Pre_GLSZM_SmallZoneHighGreyLevelEmphasis
1,2,ADC_NGTDM_Coarseness
1,3,Post1_Morph_Compactness1
1,4,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity
1,5,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
1,6,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
1,7,T2_NGTDM_Strength
1,8,T2_GLRLM_LongRunHighGreyLevelEmphasis
1,9,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
1,10,ADC_GLSZM_GreyLevelVariance
1,11,ADC_GLCM_ClusterTendency
1,12,ADC_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity
1,13,Post1_GLRLM_LongRunHighGreyLevelEmphasis
1,14,ADC_NGTDM_Strength
1,15,T2_IH_IntensityHistogramKurtosis_Intensity
1,16,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
1,17,T2_IH_IntensityHistogramCoefficientOfVariation_Intensity
1,18,ADC_GLRLM_ShortRunHighGreyLevelEmphasis
2,1,Post1_IH_IntensityHistogramMode_Intensity
2,2,ADC_NGTDM_Coarseness
2,3,Pre_NGTDM_Strength
2,4,T2_GLSZM_SmallZoneHighGreyLevelEmphasis
2,5,ADC_IB_AreaUnderCurveCIVH
2,6,ADC_GLSZM_LargeZoneEmphasis
2,7,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,8,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,9,ADC_IH_IntensityHistogramCoefficientOfVariation_Intensity
2,10,T2_GLCM_JointMaximum
2,11,T2_Morph_SphericalDisproportion
2,12,Post1_GLCM_ClusterShade
2,13,ADC_GLRLM_ShortRunHighGreyLevelEmphasis
2,14,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,15,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
2,16,ADC_GLCM_ClusterTendency
2,17,ADC_IH_IntensityHistogramMedian_Intensity
2,18,Post1_IH_MaximumHistogramGradientGreyLevel_Intensity
3,1,T2_IH_MinimumHistogramGradientGreyLevel_Intensity
3,2,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,3,ADC_NGTDM_Coarseness
3,4,Post1_IB_AreaUnderCurveCIVH
3,5,ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
3,6,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,7,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,8,ADC_NGTDM_Strength
3,9,ADC_IB_MinimumIntensity
3,10,ADC_IB_AreaUnderCurveCIVH
3,11,ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
3,12,Pre_GLSZM_SmallZoneHighGreyLevelEmphasis
4,1,Pre_GLSZM_NormalisedZoneSizeNonUniformity
4,2,T2_GLCM_JointMaximum
4,3,Pre_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
4,4,T2_GLRLM_LongRunHighGreyLevelEmphasis
4,5,ADC_IH_IntensityHistogramMedian_Intensity
4,6,Post1_IH_IntensityHistogramMode_Intensity
4,7,ADC_IH_IntensityHistogramVariance_Intensity
4,8,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
4,9,ADC_GLCM_DifferenceAverage
4,10,Post1_IH_IntensityHistogramMedian_Intensity
5,1,T2_GLCM_JointMaximum
5,2,Pre_GLSZM_NormalisedZoneSizeNonUniformity
5,3,ADC_GLCM_ClusterTendency
5,4,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
5,5,T2_NGTDM_Strength
5,6,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
5,7,T2_GLRLM_LongRunHighGreyLevelEmphasis
5,8,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
5,9,Post1_GLCM_ClusterShade
5,10,Post1_GLCM_Correlation
5,11,ADC_GLCM_DifferenceAverage
5,12,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
