Feature,Variance
Morph_Compactness1,2.4904847040348168e-05
IH_RootMeanSquare_Intensity,0.00011376751877635735
GLCM_NormalisedInverseDifferenceMoment,0.00029094144282619907
GLSZM_SmallZoneLowGreyLevelEmphasis,0.0003118659827896455
NGTDM_Coarseness,0.0004225450390368729
GLCM_NormalisedInverseDifference,0.0011030307002704092
GLCM_AngularSecondMoment,0.0015369342773806764
GLSZM_NormalisedGreyLevelNonUniformity,0.0015390574025612458
GLSZM_LowGrayLevelZoneEmphasis,0.002274861796046512
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0034463105895616063
GLRLM_ShortRunLowGreyLevelEmphasis,0.0037166433547602016
GLRLM_ShortRunsEmphasis,0.004501029306559012
GLSZM_NormalisedZoneSizeNonUniformity,0.004719877529351047
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.004875093801125807
GLCM_JointMaximum,0.005104027421852032
IH_Uniformity_Intensity,0.005416096189054202
Morph_Sphericity,0.0055941115690243265
GLRLM_RunPercentage,0.007659425537868845
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,0.007774437481679668
GLRLM_LowGreyLevelRunEmphasis,0.008389754485415143
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.009558457106685597
GLCM_InverseVariance,0.009966505851889884
GLSZM_SmallZoneEmphasis,0.0101352523774925
GLCM_Correlation,0.011112925111094544
Morph_Compactness2,0.013249492698125418
GLCM_InverseDifference,0.016647551239010423
GLSZM_ZonePercentage,0.021041894947612078
GLCM_InverseDifferenceMoment,0.021561307890974896
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.024179526949497005
Morph_Asphericity,0.026482572285039016
Morph_SphericalDisproportion,0.026482572285039016
IB_IntensityBasedQuartileCoefficientOfDispersion,0.02656593838451546
Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.03132520157254462
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03288688017009118
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.03332615926059941
IH_IntensityHistogramCoefficientOfVariation_Intensity,0.05152657604067557
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.05527650548023572
