,LightGBM,NaiveBayes,SVM_Linear,ExtraTrees,GradientBoosting,KNN,RandomForest,LogisticRegression,XGBoost,SVM_RBF
LightGBM,0.0,0.8766207698928576,1.3238447787686873,1.4250888192728672,1.9521880958998437,1.1656663247514258,2.5286649410321203,1.2999074306762863,2.5240578686851065,2.7607350632423477
NaiveBayes,-0.8766207698928576,0.0,0.3642679283125189,0.061275066136976246,0.1786362713706253,0.00661881009417633,0.5139404307159157,0.083705977846551,0.46145217404737177,2.1148850355977786
SVM_Linear,-1.3238447787686873,-0.3642679283125189,0.0,-0.3022025817401626,-0.11843564610364392,-0.35614772325184546,0.30886180996115814,-0.28450991441469764,0.257582042466336,2.5247497717365923
ExtraTrees,-1.4250888192728672,-0.061275066136976246,0.3022025817401626,0.0,0.2510514338736961,-0.08374339961078006,1.1301295313209863,0.028116920756201272,0.6618552177702887,2.074671958496714
GradientBoosting,-1.9521880958998437,-0.1786362713706253,0.11843564610364392,-0.2510514338736961,0.0,-0.2904135595829847,0.9777934701307492,-0.12779154930023565,0.5697610936731683,1.95532381577222
KNN,-1.1656663247514258,-0.00661881009417633,0.35614772325184546,0.08374339961078006,0.2904135595829847,0.0,0.956852976685555,0.08433284785715235,0.666189507031633,2.352252069768403
RandomForest,-2.5286649410321203,-0.5139404307159157,-0.30886180996115814,-1.1301295313209863,-0.9777934701307492,-0.956852976685555,0.0,-0.5848856720042003,-0.04000395195814758,1.6331654038188146
LogisticRegression,-1.2999074306762863,-0.083705977846551,0.28450991441469764,-0.028116920756201272,0.12779154930023565,-0.08433284785715235,0.5848856720042003,0.0,0.5304389226582231,1.8318417097278339
XGBoost,-2.5240578686851065,-0.46145217404737177,-0.257582042466336,-0.6618552177702887,-0.5697610936731683,-0.666189507031633,0.04000395195814758,-0.5304389226582231,0.0,1.5428005637729096
SVM_RBF,-2.7607350632423477,-2.1148850355977786,-2.5247497717365923,-2.074671958496714,-1.95532381577222,-2.352252069768403,-1.6331654038188146,-1.8318417097278339,-1.5428005637729096,0.0
