Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LightGBM,0.666 ± 0.129,0.698 ± 0.143,0.681 ± 0.102,0.692 ± 0.080,0.670 ± 0.158,0.804 ± 0.160,0.713 ± 0.111,0.580 ± 0.104,7.200 ± 3.633
NaiveBayes,0.655 ± 0.078,0.705 ± 0.096,0.588 ± 0.053,0.541 ± 0.073,0.577 ± 0.367,0.553 ± 0.428,0.501 ± 0.307,0.529 ± 0.430,7.200 ± 3.633
SVM_Linear,0.632 ± 0.157,0.745 ± 0.084,0.634 ± 0.101,0.602 ± 0.093,0.612 ± 0.089,0.747 ± 0.164,0.668 ± 0.112,0.458 ± 0.188,7.200 ± 3.633
ExtraTrees,0.622 ± 0.171,0.674 ± 0.107,0.612 ± 0.183,0.599 ± 0.188,0.647 ± 0.161,0.608 ± 0.172,0.618 ± 0.144,0.591 ± 0.270,7.200 ± 3.633
GradientBoosting,0.608 ± 0.087,0.659 ± 0.094,0.578 ± 0.059,0.581 ± 0.080,0.616 ± 0.138,0.608 ± 0.106,0.595 ± 0.050,0.553 ± 0.193,7.200 ± 3.633
KNN,0.588 ± 0.152,0.611 ± 0.157,0.631 ± 0.073,0.607 ± 0.083,0.653 ± 0.170,0.699 ± 0.169,0.652 ± 0.103,0.516 ± 0.279,7.200 ± 3.633
RandomForest,0.571 ± 0.121,0.626 ± 0.090,0.549 ± 0.130,0.550 ± 0.138,0.572 ± 0.166,0.615 ± 0.138,0.579 ± 0.126,0.484 ± 0.194,7.200 ± 3.633
LogisticRegression,0.566 ± 0.229,0.676 ± 0.186,0.566 ± 0.150,0.554 ± 0.161,0.584 ± 0.147,0.677 ± 0.094,0.619 ± 0.104,0.431 ± 0.280,7.200 ± 3.633
XGBoost,0.561 ± 0.149,0.645 ± 0.092,0.589 ± 0.129,0.601 ± 0.119,0.598 ± 0.163,0.687 ± 0.273,0.610 ± 0.172,0.516 ± 0.175,7.200 ± 3.633
SVM_RBF,0.528 ± 0.175,0.615 ± 0.061,0.520 ± 0.222,0.511 ± 0.189,0.516 ± 0.200,0.574 ± 0.365,0.521 ± 0.272,0.449 ± 0.350,7.200 ± 3.633
