,LightGBM,NaiveBayes,SVM_Linear,ExtraTrees,GradientBoosting,KNN,RandomForest,LogisticRegression,XGBoost,SVM_RBF
LightGBM,1.0,0.3806926540214973,0.18555460103336507,0.15413152818962894,0.05091587698070275,0.24374938050335204,0.011449727333550146,0.1936326980296077,0.011600883014001383,0.005767143930317428
NaiveBayes,0.3806926540214973,1.0,0.715657946578893,0.9511401478200655,0.8582233121222527,0.9947189921739666,0.6072936391949498,0.9332902041945632,0.6444742265987415,0.03443974690203465
SVM_Linear,0.18555460103336507,0.715657946578893,1.0,0.762497636256718,0.9057224830204282,0.7217299392019552,0.7574266485840009,0.7760196372364875,0.7967294901926728,0.011578069632367306
ExtraTrees,0.15413152818962894,0.9511401478200655,0.762497636256718,1.0,0.801774343729484,0.9332604504139912,0.2584216477188386,0.9775688985967732,0.5080640141437409,0.03801694796849275
GradientBoosting,0.05091587698070275,0.8582233121222527,0.9057224830204282,0.801774343729484,1.0,0.7714998714502419,0.3281764812717649,0.8983139379114025,0.5688397470125064,0.05054486190944224
KNN,0.24374938050335204,0.9947189921739666,0.7217299392019552,0.9332604504139912,0.7714998714502419,1.0,0.3386414684764958,0.9327917966027369,0.5052899789630996,0.01866012482463756
RandomForest,0.011449727333550146,0.6072936391949498,0.7574266485840009,0.2584216477188386,0.3281764812717649,0.3386414684764958,1.0,0.5586245933271288,0.968089975609753,0.1024342140094051
LogisticRegression,0.1936326980296077,0.9332902041945632,0.7760196372364875,0.9775688985967732,0.8983139379114025,0.9327917966027369,0.5586245933271288,1.0,0.595807645558144,0.0669750070547695
XGBoost,0.011600883014001383,0.6444742265987415,0.7967294901926728,0.5080640141437409,0.5688397470125064,0.5052899789630996,0.968089975609753,0.595807645558144,1.0,0.12287917266243155
SVM_RBF,0.005767143930317428,0.03443974690203465,0.011578069632367306,0.03801694796849275,0.05054486190944224,0.01866012482463756,0.1024342140094051,0.0669750070547695,0.12287917266243155,1.0
