,Post1_Morph_Compacity,Post1_Morph_Compactness1,Post1_Morph_Compactness2,Post1_Morph_SphericalDisproportion,Post1_Morph_Sphericity,Post1_Morph_Asphericity,Post1_IH_IntensityHistogramMode_Intensity,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,ADC_Morph_SurfaceToVolumeRatio_cm,ADC_Morph_Compacity,ADC_Morph_Compactness1,ADC_Morph_Compactness2
Post1_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.14048133043200398,0.15590656404055986,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037
Post1_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.14048133043200398,-0.15590656404055986,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037
Post1_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.14048133043200398,-0.15590656404055986,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037
Post1_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.14048133043200398,0.15590656404055986,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037
Post1_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.14048133043200398,-0.15590656404055986,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037
Post1_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.14048133043200398,0.15590656404055986,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037
Post1_IH_IntensityHistogramMode_Intensity,0.14048133043200398,-0.14048133043200398,-0.14048133043200398,0.14048133043200398,-0.14048133043200398,0.14048133043200398,1.0,0.6234399689410469,0.12872180715894319,-0.12872180715894319,-0.12872180715894319,0.12872180715894319
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,0.15590656404055986,-0.15590656404055986,-0.15590656404055986,0.15590656404055986,-0.15590656404055986,0.15590656404055986,0.6234399689410469,1.0,0.1581543542777636,-0.1581543542777636,-0.1581543542777636,0.1581543542777636
ADC_Morph_SurfaceToVolumeRatio_cm,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,0.12872180715894319,0.1581543542777636,1.0,-1.0,-1.0,1.0
ADC_Morph_Compacity,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,-0.12872180715894319,-0.1581543542777636,-1.0,1.0,1.0,-1.0
ADC_Morph_Compactness1,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,-0.12872180715894319,-0.1581543542777636,-1.0,1.0,1.0,-1.0
ADC_Morph_Compactness2,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,0.12872180715894319,0.1581543542777636,1.0,-1.0,-1.0,1.0
