Feature,Variance
ADC_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.11915433453421616
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,0.12689951127797203
Post2_Morph_CentreOfMassShift_mm,0.18803730740150645
Post2_GLRLM_RunLengthVariance,0.2529138230896858
Post2_GLCM_JointEntropyLog10,0.2703308602887859
ADC_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.3051690046919128
Post2_GLRLM_RunEntropy,0.37201974544387545
ADC_GLCM_JointEntropyLog2,0.3748231718439644
Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.42358083101196425
Post2_IB_IntensitySkewness,0.6665971557853505
Post2_IH_IntensityHistogramSkewness_Intensity,0.6733548856942065
ADC_GLRLM_RunLengthVariance,0.6985279658813316
Post2_IH_IntensityHistogramEntropyLog2_Intensity,0.8484708396101746
Post2_GLSZM_ZoneSizeEntropy,0.8590774283948324
ADC_IB_IntensityBasedMedianAbsoluteDeviation,0.9363432028029117
Post2_GLRLM_LongRunLowGreyLevelEmphasis,1.012252789910656
ADC_GLCM_JointEntropyLog10,1.140375607460678
ADC_GLCM_Contrast,1.140375607460678
ADC_IH_IntensityHistogramEntropyLog10_Intensity,1.3148926591821373
Post2_GLRLM_LongRunsEmphasis,1.4290639827363947
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1.4848505190755095
ADC_NGTDM_Contrast,1.6291991616339654
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1.7111122925612101
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,1.7566470203778548
ADC_GLRLM_GreyLevelVariance,2.0480269716620203
ADC_GLSZM_ZoneSizeVariance,2.2628304067310365
Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity,2.507540781779006
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,2.6359307323153867
Post2_GLCM_JointEntropyLog2,2.9831568038899294
ADC_IH_IntensityHistogramVariance_Intensity,3.036758735035229
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,3.0504992381152354
ADC_IB_IntensityVariance,3.1052503451511457
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,3.2011145761939708
Post2_GLCM_SumEntropy,3.360558773677028
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,3.917855490074417
ADC_GLCM_JointVariance,4.136251015359671
ADC_GLCM_DifferenceVariance,4.4184644590104325
Post2_GLCM_DifferenceEntropy,4.688130099741056
Post2_IH_IntensityHistogramKurtosis_Intensity,4.903329546657039
ADC_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,4.928197035791489
Post2_IB_IntensityKurtosis,5.0523510475109354
Post2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,6.045590449690147
Post2_GLCM_Dissimilarity,6.135584053089083
Post2_GLCM_DifferenceAverage,6.135584053089083
ADC_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,6.774907528860775
ADC_IH_IntensityHistogramRange_Intensity,6.876100996261926
Post2_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,8.524844103266693
Post2_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,8.529567423158298
ADC_Morph_SurfaceToVolumeRatio_cm,9.236342470437002
ADC_IH_IntensityHistogram90thPercentile,9.402215825943351
ADC_GLCM_SumVariance,9.542031628889987
Post2_Morph_Compacity,10.471252028896668
Post2_IH_IntensityHistogramStd_Intensity,10.95816523825873
Post2_Morph_SurfaceToVolumeRatio_cm,11.922391552107548
ADC_Morph_SurfaceArea_cm2,12.054112753712973
ADC_Morph_Asphericity,13.546061071654178
Post2_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,16.164562707012916
Post2_IH_IntensityHistogram10thPercentile,18.46783625730993
ADC_GLCM_DifferenceAverage,26.131257356851854
ADC_GLRLM_ShortRunsEmphasis,26.71384284780877
ADC_IH_IntensityHistogramMode_Intensity,27.354955370883353
ADC_GLRLM_ShortRunHighGreyLevelEmphasis,29.671816155294724
Post2_IH_IntensityHistogram25thPercentile,32.04986149584487
Post2_IH_IntensityHistogramInterquartileRange_Intensity,38.38911972914744
Post2_IH_IntensityHistogramMean_Intensity,49.592726517328295
Post2_GLCM_JointAverage,59.47690339804779
Post2_IH_IntensityHistogramMedian_Intensity,59.92220683287165
Post2_IH_IntensityHistogram50thPercentile,59.92220683287165
Post2_Morph_SphereDiameter_mm,60.55518278717772
ADC_Morph_Maximum3DDiameter_mm,60.87921847122899
Post2_IH_MaximumHistogramGradientGreyLevel_Intensity,81.20290858725758
ADC_IH_IntensityHistogramMedian_Intensity,82.44852262234546
Post2_NGTDM_Strength,87.37250295271572
Post2_NGTDM_Busyness,90.4006595414758
ADC_NGTDM_Complexity,93.48630562323217
Post2_IH_IntensityHistogram75thPercentile,93.95144659895352
Post2_IH_IntensityHistogramMode_Intensity,103.17243767313023
Post2_IH_IntensityHistogram90thPercentile,110.0899507540782
ADC_IH_IntensityHistogramMinimumGreyLevel_Intensity,112.49369036626663
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,125.51308094798401
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,125.90833252653047
Post2_Morph_Maximum3DDiameter_mm,128.99341882002943
ADC_IH_IntensityHistogram10thPercentile,129.3891197291475
ADC_GLCM_AngularSecondMoment,130.7973329970631
ADC_IB_TotalLesionGlycolysis,132.99857311068345
ADC_GLCM_JointMaximum,136.58245608461843
ADC_IH_MaximumHistogramGradient_Intensity,138.05355493998152
Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity,141.40412434595274
ADC_IH_IntensityHistogramKurtosis_Intensity,145.66520467836273
ADC_IH_IntensityHistogram25thPercentile,145.66520467836273
Post2_IH_IntensityHistogramRange_Intensity,146.085564789166
ADC_IH_IntensityHistogram50thPercentile,159.84764542936287
ADC_IH_IntensityHistogram75thPercentile,173.44359803016317
ADC_IH_IntensityHistogramInterquartileRange_Intensity,176.97753154816868
ADC_IH_IntensityHistogramMaximumGreyLevel_Intensity,194.93851954447518
ADC_IH_IntensityHistogramStd_Intensity,204.59318251769767
Post2_GLCM_DifferenceVariance,213.44673603130227
Post2_Morph_Volume_cm3,231.828013990348
ADC_FEATURE_RESULTS,231.96011867828872
Post2_Morph_ApproximateVolume_cm3,232.13521465320102
ADC_Morph_Volume_cm3,232.26670655378587
Post2_GLCM_SumAverage,237.9076135730153
ADC_IH_MinimumHistogramGradient_Intensity,242.82679285934148
ADC_IH_IntensityHistogramSkewness_Intensity,308.85817906584685
ADC_IB_IntensitySkewness,323.89664620795196
ADC_GLSZM_LargeZoneHighGreyLevelEmphasis,438.5664342656888
ADC_Morph_voxelsCounting_vx,545.5082549771757
ADC_GLCM_DifferenceEntropy,546.3298243278665
Post2_Morph_SurfaceArea_cm2,547.9806750539901
Post2_IB_MinimumIntensity,1396.3859273176665
ADC_GLSZM_ZonePercentage,1408.3268950906113
ADC_GLRLM_RunPercentage,1638.8206213794597
ADC_GLCM_JointAverage,1720.6312269906416
ADC_IH_IntensityHistogramMean_Intensity,1778.9744206843332
Post2_GLCM_Contrast,2009.2780094387954
