Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Post2_IH_IntensityHistogramMode_Intensity,Post2_IH_IntensityHistogramMode_Intensity,0.07839395060000695,3
ADC_IB_MedianIntensity,ADC_IB_MedianIntensity,0.06262157007819069,3
ADC_IH_IntensityHistogramMedian_Intensity,ADC_IH_IntensityHistogramMedian_Intensity,0.06230953427089355,5
Post2_Morph_Compactness2,Post2_Morph_Compactness2,0.05007254407255197,3
Post2_Morph_Compactness1,Post2_Morph_Compactness1,0.043697565876513536,3
Post2_Morph_Sphericity,Post2_Morph_Sphericity,0.04104063029085145,2
Post2_GLSZM_GreyLevelVariance,Post2_GLSZM_GreyLevelVariance,0.035207086383088004,3
ADC_GLCM_ClusterTendency,ADC_GLCM_ClusterTendency,0.02726212757916608,2
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.026044808549177945,3
Post2_GLSZM_NormalisedZoneSizeNonUniformity,Post2_GLSZM_NormalisedZoneSizeNonUniformity,0.006091847397002924,2
Post2_GLSZM_ZoneSizeVariance,Post2_GLSZM_ZoneSizeVariance,0.005686881689434481,2
Post2_GLSZM_NormalisedGreyLevelNonUniformity,Post2_GLSZM_NormalisedGreyLevelNonUniformity,0.0025989378072815783,2
