Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Dataset_A_Path,Dataset_B_Path,Dataset_C_Path,Triple_Input_File,Merge_Keys,Merge_Key_Mode,Merge_How,Rows_A,Rows_B,Rows_C,Rows_After_Merge,N_Features_A,N_Features_B,N_Features_C,N_Features_Total,Label_Counts,Status,Error,Result_Source,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Mean_Specificity,Pooled_Specificity,Avg_Features,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count,Composite_Rank_Score,Run_Name,Run_Dir,Run_Status,Final_Status,Result_Error
ADC_Post1_Pre,ADC,Post1,Pre,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,output/all_10_triple_concat_datasets/ADC_Post1_Pre_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,114,116,117,113,145,145,145,435,"{""0"": 50, ""1"": 63}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Pre/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_Linear,0.8364682539682541,0.0879537688635002,0.7987301587301587,0.8786296727070168,0.8316093387127443,0.7353571428571428,0.7130158730158731,0.7512814645308924,0.746031746031746,0.6921428571428572,0.68,9.6,28,4,1.7142857142857142,1.3333333333333333,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
ADC_Post2_T2,ADC,Post2,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_triple_concat_datasets/ADC_Post2_T2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,114,117,117,114,145,145,145,435,"{""0"": 50, ""1"": 64}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post2_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_Linear,0.8337354750512646,0.0452854522460405,0.755625,0.8660563562242178,0.8128113100505047,0.7390928077770182,0.7184375000000001,0.7625132811745388,0.7669172932330827,0.6456709956709956,0.64,10.4,31,5,1.6774193548387095,1.2222222222222223,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post2_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
ADC_Post1_Post2,ADC,Post1,Post2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,output/all_10_triple_concat_datasets/ADC_Post1_Post2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,114,116,117,113,145,145,145,435,"{""0"": 50, ""1"": 63}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,LogisticRegression,0.7971031746031746,0.0754809054992462,0.7904761904761903,0.8365358301840746,0.8405974757837662,0.7261904761904763,0.7192063492063492,0.7481845402737898,0.7333333333333333,0.7219047619047619,0.74,7.6,22,3,1.7272727272727273,1.4444444444444444,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,completed,success,
ADC_Post2_Pre,ADC,Post2,Pre,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,output/all_10_triple_concat_datasets/ADC_Post2_Pre_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,114,117,117,114,145,145,145,435,"{""0"": 50, ""1"": 64}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post2_Pre/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,LogisticRegression,0.7928289387380296,0.0498377588896502,0.7215625,0.8314428279565702,0.776875828736354,0.7138583200425306,0.6825,0.6825108225108225,0.6837606837606838,0.7689393939393939,0.74,14.4,53,4,1.3584905660377358,2.0,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,completed,success,
ADC_Pre_T2,ADC,Pre,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_triple_concat_datasets/ADC_Pre_T2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,114,117,117,114,145,145,145,435,"{""0"": 50, ""1"": 64}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,LightGBM,0.7671242500189869,0.1146206119921728,0.72,0.8015369954572993,0.7783227859224924,0.6676892990050886,0.6481250000000001,0.6773593073593073,0.6774193548387096,0.6487012987012987,0.64,13.2,35,4,1.8857142857142857,1.2222222222222223,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,completed,success,
ADC_Post1_T2,ADC,Post1,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/ADC_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_triple_concat_datasets/ADC_Post1_T2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,114,116,117,113,145,145,145,435,"{""0"": 50, ""1"": 63}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,LogisticRegression,0.753968253968254,0.1581455504184609,0.7653968253968254,0.8279338086574111,0.8359820539337195,0.7080952380952382,0.6953968253968255,0.6894811156271257,0.7008547008547008,0.7528571428571429,0.74,5.6,19,3,1.4736842105263157,2.0,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,completed,success,
Post1_Post2_Pre,Post1,Post2,Pre,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,output/all_10_triple_concat_datasets/Post1_Post2_Pre_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,116,117,117,116,145,145,145,435,"{""0"": 52, ""1"": 64}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Post2_Pre/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,SVM_Linear,0.7531372549019608,0.1257709957510366,0.7145432692307693,0.8165204529848851,0.7934181365468993,0.6972222222222222,0.6856971153846154,0.6635341669824427,0.6890756302521008,0.7611111111111111,0.7307692307692307,11.6,47,4,1.2340425531914894,1.2222222222222223,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,completed,success,
Post2_Pre_T2,Post2,Pre,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_triple_concat_datasets/Post2_Pre_T2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,117,117,117,117,145,145,145,435,"{""0"": 52, ""1"": 65}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post2_Pre_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,SVM_RBF,0.7353759820426488,0.1757874111246118,0.7065088757396449,0.8067359802726835,0.782677388978464,0.6676010101010101,0.6365384615384615,0.674328342851263,0.676923076923077,0.6177777777777778,0.5961538461538461,13.2,42,5,1.5714285714285714,1.7777777777777777,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,completed,success,
Post1_Post2_T2,Post1,Post2,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post2_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_triple_concat_datasets/Post1_Post2_T2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,116,117,117,116,145,145,145,435,"{""0"": 52, ""1"": 64}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Post2_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,NaiveBayes,0.7353104575163397,0.0569725200619209,0.7064302884615385,0.738669989813624,0.7656049578048236,0.616704014939309,0.6129807692307692,0.613030303030303,0.6666666666666666,0.573015873015873,0.5384615384615384,10.0,38,3,1.3157894736842106,1.7777777777777777,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Post2_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,completed,success,
Post1_Pre_T2,Post1,Pre,T2,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Post1_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/Pre_M1.csv,/Users/mahla/MyDrive/Research/SBU/Dr. Kheradpisheh/ML-Based-Classification-of-Benign-and-Malignant-Breast-Lesions-Using-Radiomic-Features-from-MRI-Data/Dataset/Breast-Data/Mask1/T2_M1.csv,output/all_10_triple_concat_datasets/Post1_Pre_T2_M1_triple.csv,INFO_NameOfRoi,unique_key,inner,116,117,117,116,145,145,145,435,"{""0"": 52, ""1"": 64}",dataset_created,,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Pre_T2/fs_method_comparison/_comparison_summary/fs_method_composite_ranking.csv,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,NaiveBayes,0.682120292561469,0.0740432566626414,0.6947115384615385,0.7015696195510753,0.7444881509971175,0.5908870214752568,0.6231971153846154,0.6154954954954956,0.7,0.5174603174603174,0.4807692307692308,11.6,42,3,1.380952380952381,2.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,completed,success,
