Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Rows_After_Merge,N_Features_Total,Label_Counts,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Run_Name,Run_Dir,Final_Status,Result_Error
ADC_Post1_Pre,ADC,Post1,Pre,113,435,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,False,SVM_Linear,0.8364682539682541,0.0879537688635002,0.7987301587301587,0.8786296727070168,0.8316093387127443,0.7353571428571428,0.7130158730158731,0.7512814645308924,0.746031746031746,9.6,28,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post2_T2,ADC,Post2,T2,114,435,"{""0"": 50, ""1"": 64}",elasticnet_then_mrmr,auto,False,SVM_Linear,0.8337354750512646,0.0452854522460405,0.755625,0.8660563562242178,0.8128113100505047,0.7390928077770182,0.7184375000000001,0.7625132811745388,0.7669172932330827,10.4,31,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post2_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post1_Post2,ADC,Post1,Post2,113,435,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,True,LogisticRegression,0.7971031746031746,0.0754809054992462,0.7904761904761903,0.8365358301840746,0.8405974757837662,0.7261904761904763,0.7192063492063492,0.7481845402737898,0.7333333333333333,7.6,22,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
ADC_Post2_Pre,ADC,Post2,Pre,114,435,"{""0"": 50, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,True,LogisticRegression,0.7928289387380296,0.0498377588896502,0.7215625,0.8314428279565702,0.776875828736354,0.7138583200425306,0.6825,0.6825108225108225,0.6837606837606838,14.4,53,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,success,
ADC_Pre_T2,ADC,Pre,T2,114,435,"{""0"": 50, ""1"": 64}",elasticnet_then_mrmr,auto,True,LightGBM,0.7671242500189869,0.1146206119921728,0.72,0.8015369954572993,0.7783227859224924,0.6676892990050886,0.6481250000000001,0.6773593073593073,0.6774193548387096,13.2,35,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
ADC_Post1_T2,ADC,Post1,T2,113,435,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,True,LogisticRegression,0.753968253968254,0.1581455504184609,0.7653968253968254,0.8279338086574111,0.8359820539337195,0.7080952380952382,0.6953968253968255,0.6894811156271257,0.7008547008547008,5.6,19,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
Post1_Post2_Pre,Post1,Post2,Pre,116,435,"{""0"": 52, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,True,SVM_Linear,0.7531372549019608,0.1257709957510366,0.7145432692307693,0.8165204529848851,0.7934181365468993,0.6972222222222222,0.6856971153846154,0.6635341669824427,0.6890756302521008,11.6,47,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,success,
Post2_Pre_T2,Post2,Pre,T2,117,435,"{""0"": 52, ""1"": 65}",elasticnet_then_mrmr,auto,False,SVM_RBF,0.7353759820426488,0.1757874111246118,0.7065088757396449,0.8067359802726835,0.782677388978464,0.6676010101010101,0.6365384615384615,0.674328342851263,0.676923076923077,13.2,42,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
Post1_Post2_T2,Post1,Post2,T2,116,435,"{""0"": 52, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,False,NaiveBayes,0.7353104575163397,0.0569725200619209,0.7064302884615385,0.738669989813624,0.7656049578048236,0.616704014939309,0.6129807692307692,0.613030303030303,0.6666666666666666,10.0,38,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Post2_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
Post1_Pre_T2,Post1,Pre,T2,116,435,"{""0"": 52, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,False,NaiveBayes,0.682120292561469,0.0740432566626414,0.6947115384615385,0.7015696195510753,0.7444881509971175,0.5908870214752568,0.6231971153846154,0.6154954954954956,0.7,11.6,42,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
