,SVM_RBF,LogisticRegression,NaiveBayes,SVM_Linear,ExtraTrees,LightGBM,RandomForest,GradientBoosting,KNN,XGBoost
SVM_RBF,1.0,0.56481062016624,0.31890695236911104,0.2893291844251429,0.6314197326252015,0.149697999429581,0.9339140638460509,0.08517522030653019,0.36211192762146216,0.09071193864586338
LogisticRegression,0.56481062016624,1.0,0.08402922539816617,0.40875397404246594,0.2866151540746783,0.08271426033609747,0.6112325279754693,0.029136809494522756,0.21728669753862961,0.04343338816264163
NaiveBayes,0.31890695236911104,0.08402922539816617,1.0,0.07175839399676553,0.47012861699650754,0.6317446197950438,0.41979808184135614,0.7494967184160451,0.936496296769905,0.5996260633618855
SVM_Linear,0.2893291844251429,0.40875397404246594,0.07175839399676553,1.0,0.14911474792955373,0.046081354090022154,0.373523767292282,0.016438891730904674,0.12307721960713486,0.0237789298556325
ExtraTrees,0.6314197326252015,0.2866151540746783,0.47012861699650754,0.14911474792955373,1.0,0.19458302634512503,0.7585950595762412,0.15064949945471587,0.5322993768453806,0.09634480104618633
LightGBM,0.149697999429581,0.08271426033609747,0.6317446197950438,0.046081354090022154,0.19458302634512503,1.0,0.10259808133247947,0.734399265259477,0.5426098233417141,0.9610308956276185
RandomForest,0.9339140638460509,0.6112325279754693,0.41979808184135614,0.373523767292282,0.7585950595762412,0.10259808133247947,1.0,0.0946557589477929,0.3656075327574382,0.039246535926056036
GradientBoosting,0.08517522030653019,0.029136809494522756,0.7494967184160451,0.016438891730904674,0.15064949945471587,0.734399265259477,0.0946557589477929,1.0,0.6733065015886925,0.6317671683471971
KNN,0.36211192762146216,0.21728669753862961,0.936496296769905,0.12307721960713486,0.5322993768453806,0.5426098233417141,0.3656075327574382,0.6733065015886925,1.0,0.4399118814203017
XGBoost,0.09071193864586338,0.04343338816264163,0.5996260633618855,0.0237789298556325,0.09634480104618633,0.9610308956276185,0.039246535926056036,0.6317671683471971,0.4399118814203017,1.0
