fold,C,l1_ratio
1,0.3675257878593652,0.20920212211718958
2,0.04819437348329681,0.8258527551050476
3,0.3675257878593652,0.20920212211718958
4,0.3675257878593652,0.20920212211718958
5,0.3675257878593652,0.20920212211718958
