,ExtraTrees,SVM_RBF,LogisticRegression,SVM_Linear,KNN,NaiveBayes,RandomForest,XGBoost,GradientBoosting,LightGBM
ExtraTrees,1.0,0.28206610300845325,0.9062715782944416,0.39969152321589774,0.04200878251449732,0.05011817084706564,0.032279766815286125,0.11639504905441032,0.041624188862675625,0.18503338376570433
SVM_RBF,0.28206610300845325,1.0,0.4036640321910746,0.8592176634797695,0.301413188908236,0.09448286415475915,0.20123758690811522,0.38419143189484894,0.1995659560379569,0.5131600908183516
LogisticRegression,0.9062715782944416,0.4036640321910746,1.0,0.3789145881992194,0.12135971255139467,0.028769277642994362,0.08984108301574309,0.16769557850836392,0.08796350115930142,0.27171414908222136
SVM_Linear,0.39969152321589774,0.8592176634797695,0.3789145881992194,1.0,0.27829398681183015,0.0891406122344968,0.18534662683511738,0.3455041443395751,0.17127195065194,0.4605039053818454
KNN,0.04200878251449732,0.301413188908236,0.12135971255139467,0.27829398681183015,1.0,0.36046121743432735,0.7074201276030057,0.8539078874727182,0.5955050994092939,0.9972047871504758
NaiveBayes,0.05011817084706564,0.09448286415475915,0.028769277642994362,0.0891406122344968,0.36046121743432735,1.0,0.47061258498890934,0.466155437381058,0.5908844045595628,0.4082996514902515
RandomForest,0.032279766815286125,0.20123758690811522,0.08984108301574309,0.18534662683511738,0.7074201276030057,0.47061258498890934,1.0,0.8907989013873912,0.7577157796077024,0.7483012239554433
XGBoost,0.11639504905441032,0.38419143189484894,0.16769557850836392,0.3455041443395751,0.8539078874727182,0.466155437381058,0.8907989013873912,1.0,0.6948253848881074,0.818342608507137
GradientBoosting,0.041624188862675625,0.1995659560379569,0.08796350115930142,0.17127195065194,0.5955050994092939,0.5908844045595628,0.7577157796077024,0.6948253848881074,1.0,0.5794003401427579
LightGBM,0.18503338376570433,0.5131600908183516,0.27171414908222136,0.4605039053818454,0.9972047871504758,0.4082996514902515,0.7483012239554433,0.818342608507137,0.5794003401427579,1.0
