Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.6722,+0.0888,1.85e-01,1.00e+00,✗,✗
GradientBoosting,0.6753,+0.0858,4.16e-02,1.00e+00,✓,✗
XGBoost,0.6763,+0.0847,1.16e-01,1.00e+00,✗,✗
RandomForest,0.6804,+0.0806,3.23e-02,1.00e+00,✓,✗
NaiveBayes,0.6833,+0.0777,5.01e-02,1.00e+00,✗,✗
KNN,0.6962,+0.0648,4.20e-02,1.00e+00,✓,✗
SVM_Linear,0.7290,+0.0320,4.00e-01,1.00e+00,✗,✗
LogisticRegression,0.7347,+0.0263,9.06e-01,1.00e+00,✗,✗
SVM_RBF,0.7429,+0.0181,2.82e-01,1.00e+00,✗,✗
