Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.761 ± 0.083,0.787 ± 0.163,0.697 ± 0.115,0.717 ± 0.081,0.772 ± 0.144,0.709 ± 0.218,0.707 ± 0.142,0.724 ± 0.190,8.800 ± 5.020
SVM_RBF,0.743 ± 0.073,0.782 ± 0.165,0.686 ± 0.100,0.698 ± 0.077,0.718 ± 0.149,0.782 ± 0.164,0.727 ± 0.099,0.615 ± 0.184,8.800 ± 5.020
LogisticRegression,0.735 ± 0.080,0.798 ± 0.129,0.680 ± 0.055,0.695 ± 0.052,0.724 ± 0.145,0.733 ± 0.099,0.714 ± 0.054,0.657 ± 0.151,8.800 ± 5.020
SVM_Linear,0.729 ± 0.070,0.789 ± 0.147,0.649 ± 0.082,0.648 ± 0.069,0.673 ± 0.125,0.770 ± 0.130,0.704 ± 0.075,0.525 ± 0.156,8.800 ± 5.020
KNN,0.696 ± 0.078,0.754 ± 0.165,0.630 ± 0.092,0.641 ± 0.077,0.677 ± 0.150,0.687 ± 0.159,0.665 ± 0.100,0.595 ± 0.163,8.800 ± 5.020
NaiveBayes,0.683 ± 0.082,0.742 ± 0.072,0.640 ± 0.071,0.624 ± 0.096,0.662 ± 0.097,0.801 ± 0.142,0.710 ± 0.015,0.448 ± 0.253,8.800 ± 5.020
RandomForest,0.680 ± 0.055,0.727 ± 0.105,0.656 ± 0.071,0.664 ± 0.079,0.751 ± 0.182,0.687 ± 0.215,0.674 ± 0.104,0.642 ± 0.282,8.800 ± 5.020
XGBoost,0.676 ± 0.133,0.722 ± 0.165,0.652 ± 0.102,0.648 ± 0.074,0.694 ± 0.125,0.658 ± 0.180,0.662 ± 0.134,0.639 ± 0.139,8.800 ± 5.020
GradientBoosting,0.675 ± 0.080,0.714 ± 0.142,0.646 ± 0.077,0.646 ± 0.063,0.668 ± 0.138,0.745 ± 0.077,0.695 ± 0.081,0.547 ± 0.116,8.800 ± 5.020
LightGBM,0.672 ± 0.061,0.735 ± 0.104,0.658 ± 0.096,0.653 ± 0.119,0.737 ± 0.199,0.698 ± 0.186,0.683 ± 0.111,0.608 ± 0.333,8.800 ± 5.020
