,ExtraTrees,SVM_RBF,LogisticRegression,SVM_Linear,KNN,NaiveBayes,RandomForest,XGBoost,GradientBoosting,LightGBM
ExtraTrees,0.0,1.0756895936809567,0.11774264204014254,0.842172287690023,2.033433135365327,1.9589540281158766,2.1409289663284228,1.5700862411663217,2.0372580545179537,1.3254154851846605
SVM_RBF,-1.0756895936809567,0.0,-0.8350953365433882,-0.17737013589193712,1.0334076051918895,1.6722102795942346,1.2780335784456547,0.8701994217528458,1.2827891510030203,0.6539250553362975
LogisticRegression,-0.11774264204014254,0.8350953365433882,0.0,0.8798979632400692,1.5490915556665945,2.186633665789466,1.6962365931991277,1.37964628675488,1.706239478538297,1.0991236187484397
SVM_Linear,-0.842172287690023,0.17737013589193712,-0.8798979632400692,0.0,1.0841597219999015,1.6999485040486912,1.3244711245005019,0.943345628223363,1.3681282013378786,0.7380173510471859
KNN,-2.033433135365327,-1.0334076051918895,-1.5490915556665945,-1.0841597219999015,0.0,0.9144865969013727,0.37532318183038876,0.1841345696374114,0.5308754380794404,0.003503286947086246
NaiveBayes,-1.9589540281158766,-1.6722102795942346,-2.186633665789466,-1.6999485040486912,-0.9144865969013727,0.0,-0.7214826933082248,-0.7287486339920433,-0.5375548549346165,-0.8268895772852529
RandomForest,-2.1409289663284228,-1.2780335784456547,-1.6962365931991277,-1.3244711245005019,-0.37532318183038876,0.7214826933082248,0.0,-0.1372933818915752,0.30848175706340764,-0.3208801410257049
XGBoost,-1.5700862411663217,-0.8701994217528458,-1.37964628675488,-0.943345628223363,-0.1841345696374114,0.7287486339920433,0.1372933818915752,0.0,0.3923151311949055,-0.22967720588184254
GradientBoosting,-2.0372580545179537,-1.2827891510030203,-1.706239478538297,-1.3681282013378786,-0.5308754380794404,0.5375548549346165,-0.30848175706340764,-0.3923151311949055,0.0,-0.5542608489608825
LightGBM,-1.3254154851846605,-0.6539250553362975,-1.0991236187484397,-0.7380173510471859,-0.003503286947086246,0.8268895772852529,0.3208801410257049,0.22967720588184254,0.5542608489608825,0.0
