metric,mean,std,min,max,pooled
AUC,0.6369684541933346,0.11789045622678909,0.47916666666666663,0.8264462809917356,0.63234375
PR_AUC,0.7005581214685612,0.11570823117302165,0.5473711473711473,0.8655661592781769,0.703209352172646
Accuracy,0.6099378881987578,0.12604797099638793,0.4782608695652174,0.8181818181818182,0.6052631578947368
Bal_Accuracy,0.6107813093339409,0.12223980737885433,0.45416666666666666,0.8181818181818181,0.6134375000000001
F1_Score,0.5946456248281805,0.1302206619448523,0.47058823529411764,0.8461538461538461,0.6086956521739131
Precision,0.6897435897435897,0.11640008992091166,0.5,0.8,0.6862745098039216
Recall,0.5597660818713449,0.2247533292894881,0.4,1.0,0.546875
