Feature_Family,N_Features,Percentage
Morphological,32,22.377622377622377
IB,24,16.783216783216783
HI,29,20.27972027972028
GLCM,24,16.783216783216783
GLRLM,14,9.79020979020979
GLSZM,15,10.48951048951049
NGTDM,5,3.4965034965034967
