,SVM_Linear,SVM_RBF,LogisticRegression,ExtraTrees,RandomForest,GradientBoosting,NaiveBayes,KNN,XGBoost,LightGBM
SVM_Linear,0.0,0.6176798517444145,0.4122888562198824,0.960288393887106,-0.18015613984381296,0.8416741309051592,2.4562785454236926,1.729382585976103,0.4363181627987829,1.9153691831394435
SVM_RBF,-0.6176798517444145,0.0,0.0,0.772513830808857,-0.3555453838378575,0.6893943545116757,2.2325370398691122,1.6064252290403387,0.286772751137846,1.7983790155541435
LogisticRegression,-0.4122888562198824,-0.0,0.0,0.6968530692403314,-0.34475401882566414,0.6852062571022278,2.05528346938798,1.3050065974454637,0.27872068212384216,1.8610132486665654
ExtraTrees,-0.960288393887106,-0.772513830808857,-0.6968530692403314,0.0,-1.1659687801731766,0.09186073100139741,1.361573440953326,0.5985815457449037,-0.3122607647801222,1.4989346860003467
RandomForest,0.18015613984381296,0.3555453838378575,0.34475401882566414,1.1659687801731766,0.0,1.325126679943729,1.9012627049130144,1.4699668008738789,0.840328849623954,2.632315237111856
GradientBoosting,-0.8416741309051592,-0.6893943545116757,-0.6852062571022278,-0.09186073100139741,-1.325126679943729,0.0,1.1094787820722047,0.4205239805400974,-0.5644104939112993,1.7654401921393847
NaiveBayes,-2.4562785454236926,-2.2325370398691122,-2.05528346938798,-1.361573440953326,-1.9012627049130144,-1.1094787820722047,0.0,-0.9060633912237174,-1.3907984014248995,0.06271733314118014
KNN,-1.729382585976103,-1.6064252290403387,-1.3050065974454637,-0.5985815457449037,-1.4699668008738789,-0.4205239805400974,0.9060633912237174,0.0,-0.7856515994435836,0.8276872712009198
XGBoost,-0.4363181627987829,-0.286772751137846,-0.27872068212384216,0.3122607647801222,-0.840328849623954,0.5644104939112993,1.3907984014248995,0.7856515994435836,0.0,2.1731017099763554
LightGBM,-1.9153691831394435,-1.7983790155541435,-1.8610132486665654,-1.4989346860003467,-2.632315237111856,-1.7654401921393847,-0.06271733314118014,-0.8276872712009198,-2.1731017099763554,0.0
