,SVM_Linear,SVM_RBF,LogisticRegression,ExtraTrees,RandomForest,GradientBoosting,NaiveBayes,KNN,XGBoost,LightGBM
SVM_Linear,1.0,0.5367863959339707,0.6801277156071512,0.3369100896467774,0.8570299903123088,0.39997038218186454,0.014038429719420134,0.08374064458295556,0.6626059058120826,0.055445438334748784
SVM_RBF,0.5367863959339707,1.0,1.0,0.43981015845634575,0.7221810515180292,0.49057513514688234,0.025579490010471193,0.10818051128469472,0.774286328442775,0.07211696584180603
LogisticRegression,0.6801277156071512,1.0,1.0,0.48589475041617625,0.7302793037275195,0.49321377600597327,0.03985163302888942,0.1918906012859174,0.7804591892081519,0.06274230576916229
ExtraTrees,0.3369100896467774,0.43981015845634575,0.48589475041617625,1.0,0.2436270682453775,0.9268086916165658,0.17333254172830437,0.5494519652800718,0.7548423554175814,0.13389057690177195
RandomForest,0.8570299903123088,0.7221810515180292,0.7302793037275195,0.2436270682453775,1.0,0.18512913844367618,0.05726761147059385,0.14157074572538889,0.4007240300745798,0.00848051354200174
GradientBoosting,0.39997038218186454,0.49057513514688234,0.49321377600597327,0.9268086916165658,0.18512913844367618,1.0,0.2672236927728193,0.6741027147656304,0.5724747987679899,0.07748981350985039
NaiveBayes,0.014038429719420134,0.025579490010471193,0.03985163302888942,0.17333254172830437,0.05726761147059385,0.2672236927728193,1.0,0.36490230074623253,0.16428656800593022,0.9499915947149282
KNN,0.08374064458295556,0.10818051128469472,0.1918906012859174,0.5494519652800718,0.14157074572538889,0.6741027147656304,0.36490230074623253,1.0,0.4320716259867525,0.40784762963540777
XGBoost,0.6626059058120826,0.774286328442775,0.7804591892081519,0.7548423554175814,0.4007240300745798,0.5724747987679899,0.16428656800593022,0.4320716259867525,1.0,0.02977266305013694
LightGBM,0.055445438334748784,0.07211696584180603,0.06274230576916229,0.13389057690177195,0.00848051354200174,0.07748981350985039,0.9499915947149282,0.40784762963540777,0.02977266305013694,1.0
