Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.654 ± 0.127,0.697 ± 0.179,0.666 ± 0.158,0.654 ± 0.168,0.697 ± 0.214,0.705 ± 0.145,0.685 ± 0.145,0.602 ± 0.299,9.200 ± 4.147
LogisticRegression,0.621 ± 0.186,0.691 ± 0.134,0.616 ± 0.126,0.581 ± 0.145,0.628 ± 0.071,0.698 ± 0.190,0.650 ± 0.095,0.464 ± 0.308,9.200 ± 4.147
NaiveBayes,0.618 ± 0.108,0.661 ± 0.147,0.600 ± 0.079,0.574 ± 0.076,0.606 ± 0.120,0.641 ± 0.283,0.593 ± 0.179,0.507 ± 0.318,9.200 ± 4.147
GradientBoosting,0.610 ± 0.200,0.641 ± 0.211,0.645 ± 0.170,0.657 ± 0.139,0.662 ± 0.195,0.713 ± 0.225,0.662 ± 0.184,0.600 ± 0.175,9.200 ± 4.147
XGBoost,0.606 ± 0.180,0.670 ± 0.221,0.623 ± 0.115,0.606 ± 0.114,0.631 ± 0.164,0.716 ± 0.145,0.656 ± 0.124,0.496 ± 0.251,9.200 ± 4.147
KNN,0.595 ± 0.157,0.621 ± 0.195,0.582 ± 0.133,0.569 ± 0.120,0.597 ± 0.172,0.744 ± 0.083,0.648 ± 0.131,0.393 ± 0.258,9.200 ± 4.147
RandomForest,0.585 ± 0.187,0.624 ± 0.183,0.623 ± 0.172,0.609 ± 0.146,0.623 ± 0.203,0.741 ± 0.198,0.661 ± 0.184,0.478 ± 0.240,9.200 ± 4.147
SVM_Linear,0.574 ± 0.172,0.643 ± 0.112,0.600 ± 0.185,0.564 ± 0.170,0.617 ± 0.121,0.601 ± 0.221,0.603 ± 0.166,0.527 ± 0.272,9.200 ± 4.147
LightGBM,0.554 ± 0.179,0.590 ± 0.160,0.615 ± 0.151,0.603 ± 0.137,0.595 ± 0.160,0.738 ± 0.242,0.646 ± 0.188,0.469 ± 0.117,9.200 ± 4.147
SVM_RBF,0.551 ± 0.157,0.641 ± 0.071,0.529 ± 0.195,0.562 ± 0.166,0.479 ± 0.296,0.459 ± 0.290,0.461 ± 0.276,0.664 ± 0.224,9.200 ± 4.147
