,XGBoost,GradientBoosting,SVM_RBF,SVM_Linear,LogisticRegression,ExtraTrees,KNN,RandomForest,LightGBM,NaiveBayes
XGBoost,1.0,0.9067581349609859,0.2137649478754099,0.0687704665606295,0.06606551466908467,0.01877213145810024,0.11196709431592815,0.013981492924290224,0.006104772586155111,0.013123382758357508
GradientBoosting,0.9067581349609859,1.0,0.1450410849697379,0.03894010709268051,0.04149974877537608,0.021994827050876926,0.07120211046789018,0.0033362406784096213,0.008518542870371255,0.009033516325225543
SVM_RBF,0.2137649478754099,0.1450410849697379,1.0,0.37010818484842034,0.4065829489318593,0.2896816991303024,0.5369591836935176,0.5395105598208307,0.2634484492739193,0.08401294282811267
SVM_Linear,0.0687704665606295,0.03894010709268051,0.37010818484842034,1.0,0.8370043868320358,0.6548483345393694,0.944940021852498,0.9570043292091741,0.5303771788831836,0.18810807853100575
LogisticRegression,0.06606551466908467,0.04149974877537608,0.4065829489318593,0.8370043868320358,1.0,0.5547068531123672,0.8787543501386192,0.9480927604464569,0.4692713717944682,0.15703043454043394
ExtraTrees,0.01877213145810024,0.021994827050876926,0.2896816991303024,0.6548483345393694,0.5547068531123672,1.0,0.8100030472921843,0.6382444050034721,0.7830974292626252,0.32579103039851265
KNN,0.11196709431592815,0.07120211046789018,0.5369591836935176,0.944940021852498,0.8787543501386192,0.8100030472921843,1.0,0.9201085470995136,0.6722045065512505,0.2331302176468858
RandomForest,0.013981492924290224,0.0033362406784096213,0.5395105598208307,0.9570043292091741,0.9480927604464569,0.6382444050034721,0.9201085470995136,1.0,0.37384776915084705,0.1955235929904081
LightGBM,0.006104772586155111,0.008518542870371255,0.2634484492739193,0.5303771788831836,0.4692713717944682,0.7830974292626252,0.6722045065512505,0.37384776915084705,1.0,0.41708513272348346
NaiveBayes,0.013123382758357508,0.009033516325225543,0.08401294282811267,0.18810807853100575,0.15703043454043394,0.32579103039851265,0.2331302176468858,0.1955235929904081,0.41708513272348346,1.0
