,ExtraTrees,LogisticRegression,NaiveBayes,GradientBoosting,XGBoost,KNN,RandomForest,SVM_Linear,LightGBM,SVM_RBF
ExtraTrees,0.0,1.4046595114545675,1.709634847199365,0.9109148967278946,0.6599569027826231,1.5109596945414576,2.3708272463419995,3.2674736104240463,1.943147612456327,2.75603449292376
LogisticRegression,-1.4046595114545675,0.0,0.15076426953438973,-0.6184387674712802,-0.9092165006287078,-0.16637138360800255,-0.13756387181256943,1.3902182029531143,-0.011922687606962254,0.9238903586811057
NaiveBayes,-1.709634847199365,-0.15076426953438973,0.0,-0.8301485447390815,-1.0527086784016608,-0.311147269311108,-0.28065982858480437,1.1496338642543744,-0.15406985241500346,0.6109011905635204
GradientBoosting,-0.9109148967278946,0.6184387674712802,0.8301485447390815,0.0,-0.3520279097358989,0.6036542425928082,0.8366874760496729,2.1222523810493987,0.9314860111267041,1.6477055465126267
XGBoost,-0.6599569027826231,0.9092165006287078,1.0527086784016608,0.3520279097358989,0.0,0.8981518138580941,1.257604998426264,2.262649928045372,1.2806383933825354,1.8215563629763372
KNN,-1.5109596945414576,0.16637138360800255,0.311147269311108,-0.6036542425928082,-0.8981518138580941,0.0,0.03247014137720025,1.4678911955209186,0.16557680645462186,1.0946326833456048
RandomForest,-2.3708272463419995,0.13756387181256943,0.28065982858480437,-0.8366874760496729,-1.257604998426264,-0.03247014137720025,0.0,1.7414693453977015,0.2535904234840175,1.23154773166188
SVM_Linear,-3.2674736104240463,-1.3902182029531143,-1.1496338642543744,-2.1222523810493987,-2.262649928045372,-1.4678911955209186,-1.7414693453977015,0.0,-1.5312461074972117,-0.6531137014120447
LightGBM,-1.943147612456327,0.011922687606962254,0.15406985241500346,-0.9314860111267041,-1.2806383933825354,-0.16557680645462186,-0.2535904234840175,1.5312461074972117,0.0,0.8908240437646372
SVM_RBF,-2.75603449292376,-0.9238903586811057,-0.6109011905635204,-1.6477055465126267,-1.8215563629763372,-1.0946326833456048,-1.23154773166188,0.6531137014120447,-0.8908240437646372,0.0
