,Pre_Morph_Compacity,Pre_Morph_Compactness1,Pre_Morph_Compactness2,Pre_Morph_SphericalDisproportion,Pre_Morph_Sphericity,Pre_Morph_Asphericity,ADC_Morph_SurfaceToVolumeRatio_cm,ADC_Morph_Compacity,ADC_Morph_Compactness1,ADC_Morph_Compactness2,ADC_Morph_SphericalDisproportion,ADC_Morph_Sphericity
Pre_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9596686984872724,-0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724
Pre_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9596686984872724,0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724
Pre_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9596686984872724,0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724
Pre_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9596686984872724,-0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724
Pre_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9596686984872724,0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724
Pre_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9596686984872724,-0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724
ADC_Morph_SurfaceToVolumeRatio_cm,0.9596686984872724,-0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,1.0,-1.0,-1.0,1.0,-1.0,1.0
ADC_Morph_Compacity,-0.9596686984872724,0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,-1.0,1.0,1.0,-1.0,1.0,-1.0
ADC_Morph_Compactness1,-0.9596686984872724,0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,-1.0,1.0,1.0,-1.0,1.0,-1.0
ADC_Morph_Compactness2,0.9596686984872724,-0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,1.0,-1.0,-1.0,1.0,-1.0,1.0
ADC_Morph_SphericalDisproportion,-0.9596686984872724,0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,-1.0,1.0,1.0,-1.0,1.0,-1.0
ADC_Morph_Sphericity,0.9596686984872724,-0.9596686984872724,-0.9596686984872724,0.9596686984872724,-0.9596686984872724,0.9596686984872724,1.0,-1.0,-1.0,1.0,-1.0,1.0
