feature,n_valid,shapiro_stat,shapiro_p_value,is_normal_global_p_ge_0_05,shapiro_q_value_fdr,is_normal_after_fdr_q_ge_0_05
FEATURE_RESULTS,114,0.14590993763030258,8.864249293317973e-23,False,1.1768341697347152e-21,False
Morph_Volume_cm3,114,0.14618662025309648,8.927707494539219e-23,False,1.1768341697347152e-21,False
Morph_ApproximateVolume_cm3,114,0.14618662025309648,8.927707494539219e-23,False,1.1768341697347152e-21,False
Morph_voxelsCounting_vx,114,0.2723791884085627,2.8343580121240077e-21,False,2.283232843099895e-20,False
Morph_SurfaceArea_cm2,114,0.9653990567233537,0.004788574529566618,False,0.005220626366820749,False
Morph_SurfaceToVolumeRatio_cm,114,0.7549014002652706,1.643548216773448e-12,False,3.666376791263846e-12,False
Morph_Compacity,114,0.9449468182138825,0.00014261732878887952,False,0.0001798218493425003,False
Morph_Compactness1,114,0.978047345169593,0.057723599271276155,True,0.059361148186773356,True
Morph_Compactness2,114,0.797331019743917,3.072419794530693e-11,False,6.102751646670555e-11,False
Morph_SphericalDisproportion,114,0.9249847363828019,7.815367486187767e-06,False,1.0690832882049303e-05,False
Morph_Sphericity,114,0.7973310197439165,3.072419794530582e-11,False,6.102751646670555e-11,False
Morph_Asphericity,114,0.7234756458827656,2.3379072064606656e-13,False,5.745704151471127e-13,False
Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,114,0.9792194162307715,0.07330865264859715,True,0.07485742700032808,True
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,114,0.9307308346453225,1.7247802054204755e-05,False,2.2944323833575135e-05,False
Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,114,0.6717364741456878,1.2920415008307669e-14,False,3.673451325891396e-14,False
Morph_CentreOfMassShift_mm,114,0.8307695488994687,4.1964978696443496e-10,False,7.902495988291307e-10,False
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,114,0.8234932837951765,2.311916674452819e-10,False,4.4697055706087826e-10,False
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,114,0.4310902209286722,4.526293838599179e-19,False,2.52427925614185e-18,False
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,114,0.9486532127783212,0.0002576893770780106,False,0.0003113746639692628,False
