,LogisticRegression,SVM_RBF,SVM_Linear,KNN,RandomForest,XGBoost,GradientBoosting,NaiveBayes,ExtraTrees,LightGBM
LogisticRegression,0.0,1.0365497467836655,2.405804190400304,1.075306371471394,2.1596878914925743,1.9131340143743962,2.7013241867714965,4.2533502366506175,2.9045219927051473,2.5596835524074124
SVM_RBF,-1.0365497467836655,0.0,1.4014563854093873,0.6556919792908441,2.0090106597515187,1.5600851880305067,2.330940333610101,3.699231189988388,2.9012092215376706,2.2794030172394333
SVM_Linear,-2.405804190400304,-1.4014563854093873,0.0,0.09853663005785177,1.3982983477780426,0.9355379795242033,1.6648633153682493,3.6260846473989106,2.2909437663207495,1.701632881555329
KNN,-1.075306371471394,-0.6556919792908441,-0.09853663005785177,0.0,1.2639918600976712,0.674547550204849,1.335206088420824,2.7857773494045746,1.998133338772161,1.4898879357666794
RandomForest,-2.1596878914925743,-2.0090106597515187,-1.3982983477780426,-1.2639918600976712,0.0,-0.6980529160021521,0.004992775043966968,1.9187705224308769,0.9804334231671542,0.5411986707754995
XGBoost,-1.9131340143743962,-1.5600851880305067,-0.9355379795242033,-0.674547550204849,0.6980529160021521,0.0,0.6419925351341977,2.4359589738906045,1.374147651464323,1.05672809908424
GradientBoosting,-2.7013241867714965,-2.330940333610101,-1.6648633153682493,-1.335206088420824,-0.004992775043966968,-0.6419925351341977,0.0,1.942796252172991,0.8597558513046978,0.5177143065724391
NaiveBayes,-4.2533502366506175,-3.699231189988388,-3.6260846473989106,-2.7857773494045746,-1.9187705224308769,-2.4359589738906045,-1.942796252172991,0.0,-1.515435624303743,-1.524804720375994
ExtraTrees,-2.9045219927051473,-2.9012092215376706,-2.2909437663207495,-1.998133338772161,-0.9804334231671542,-1.374147651464323,-0.8597558513046978,1.515435624303743,0.0,-0.2101758342043433
LightGBM,-2.5596835524074124,-2.2794030172394333,-1.701632881555329,-1.4898879357666794,-0.5411986707754995,-1.05672809908424,-0.5177143065724391,1.524804720375994,0.2101758342043433,0.0
