,LogisticRegression,SVM_RBF,SVM_Linear,KNN,RandomForest,XGBoost,GradientBoosting,NaiveBayes,ExtraTrees,LightGBM
LogisticRegression,1.0,0.2999457438253441,0.01613691133812407,0.282237584561021,0.030796839191770682,0.05573089825207826,0.006906398363892049,2.1059580217974482e-05,0.0036781436157572174,0.010476751347282934
SVM_RBF,0.2999457438253441,1.0,0.16107764113977208,0.5120223305741236,0.04453600326663295,0.11873975135268829,0.019756506106036284,0.00021625354739644883,0.0037172559552649436,0.02264311913408319
SVM_Linear,0.01613691133812407,0.16107764113977208,1.0,0.9215061868937355,0.16202349382808767,0.3495111199835934,0.09594002852480008,0.0002877510638374747,0.021966666241106547,0.08882420954916395
KNN,0.282237584561021,0.5120223305741236,0.9215061868937355,1.0,0.20623294858826235,0.49996326573870276,0.18180890472606437,0.005339953623529588,0.04570220619017925,0.13625370421116295
RandomForest,0.030796839191770682,0.04453600326663295,0.16202349382808767,0.20623294858826235,1.0,0.4851441019855042,0.9960163584274356,0.055013381963401074,0.3268722181907422,0.5883706535859559
XGBoost,0.05573089825207826,0.11873975135268829,0.3495111199835934,0.49996326573870276,0.4851441019855042,1.0,0.520878029886136,0.014852368943611905,0.1693958485332525,0.290635697096327
GradientBoosting,0.006906398363892049,0.019756506106036284,0.09594002852480008,0.18180890472606437,0.9960163584274356,0.520878029886136,1.0,0.052040780927456634,0.3899236403032803,0.6046576149170924
NaiveBayes,2.1059580217974482e-05,0.00021625354739644883,0.0002877510638374747,0.005339953623529588,0.055013381963401074,0.014852368943611905,0.052040780927456634,1.0,0.12966212149766443,0.12730781219796422
ExtraTrees,0.0036781436157572174,0.0037172559552649436,0.021966666241106547,0.04570220619017925,0.3268722181907422,0.1693958485332525,0.3899236403032803,0.12966212149766443,1.0,0.8335304398294308
LightGBM,0.010476751347282934,0.02264311913408319,0.08882420954916395,0.13625370421116295,0.5883706535859559,0.290635697096327,0.6046576149170924,0.12730781219796422,0.8335304398294308,1.0
