Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.6908052884615383,0.7418371529639792,0.6551724137931034,0.6478365384615384,0.71875,0.5769230769230769,0.6764705882352942,0.625,0.696969696969697,0.29782082324455206,0.2275406899729741,20.0,0.0
RandomForest,0.6670673076923076,0.750175842330558,0.5948275862068966,0.5931490384615384,0.609375,0.5769230769230769,0.639344262295082,0.5454545454545454,0.624,0.18529587567244477,0.23035255767271162,20.0,0.0
ExtraTrees,0.661358173076923,0.723686359884563,0.6293103448275862,0.6243990384615384,0.671875,0.5769230769230769,0.6615384615384615,0.5882352941176471,0.6666666666666666,0.24924744130042142,0.23736536165884256,20.0,0.0
SVM_Linear,0.6568509615384616,0.7069068014608659,0.6293103448275862,0.6135817307692308,0.765625,0.46153846153846156,0.6363636363636364,0.6153846153846154,0.6950354609929078,0.23261538461538456,0.2379397790934703,20.0,0.0
SVM_RBF,0.6478365384615384,0.7410186036168587,0.5948275862068966,0.5805288461538461,0.71875,0.4423076923076923,0.6133333333333333,0.5609756097560976,0.6618705035971223,0.16431637032495394,0.23970669831547828,20.0,0.0
NaiveBayes,0.6419771634615384,0.6967268465375267,0.5948275862068966,0.5679086538461539,0.828125,0.3076923076923077,0.5955056179775281,0.5925925925925926,0.6928104575163399,0.14222781623662673,0.3711826115279664,20.0,0.0
LightGBM,0.6361177884615384,0.690415404538099,0.6120689655172413,0.6141826923076923,0.59375,0.6346153846153846,0.6666666666666666,0.559322033898305,0.628099173553719,0.2255192878338278,0.27502612561169326,20.0,0.0
XGBoost,0.6234975961538461,0.7035729917724901,0.5862068965517241,0.5817307692307692,0.625,0.5384615384615384,0.625,0.5384615384615384,0.625,0.16346153846153844,0.2981197842419519,20.0,0.0
KNN,0.6168870192307692,0.7105523383515712,0.603448275862069,0.5829326923076923,0.78125,0.38461538461538464,0.6097560975609756,0.5882352941176471,0.684931506849315,0.17142857142857149,0.23837555711939953,20.0,0.0
GradientBoosting,0.6089242788461539,0.6956404074662231,0.5517241379310345,0.5252403846153846,0.78125,0.2692307692307692,0.5681818181818182,0.5,0.6578947368421053,0.05276381909547745,0.2534404811638643,20.0,0.0
