Model,Baseline_ROC_AUC,mRMR_ROC_AUC,Delta_ROC_AUC_mRMR_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,mRMR_PR_AUC,Delta_PR_AUC_mRMR_minus_Baseline,Baseline_Sensitivity,mRMR_Sensitivity,Delta_Sensitivity,Baseline_Specificity,mRMR_Specificity,Delta_Specificity,Baseline_PPV,mRMR_PPV,Delta_PPV,Baseline_NPV,mRMR_NPV,Delta_NPV,Baseline_Kappa,mRMR_Kappa,Delta_Kappa,Baseline_Brier,mRMR_Brier,Delta_Brier_mRMR_minus_Baseline,Baseline_Mean_Selected_Features,mRMR_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
ExtraTrees,0.661358173076923,0.661358173076923,0.0,0.0,0.0,0.723686359884563,0.723686359884563,0.0,0.671875,0.671875,0.0,0.5769230769230769,0.5769230769230769,0.0,0.6615384615384615,0.6615384615384615,0.0,0.5882352941176471,0.5882352941176471,0.0,0.24924744130042142,0.24924744130042142,0.0,0.23736536165884256,0.23736536165884256,0.0,20.0,20.0,0.0,1.0,True,1.0
GradientBoosting,0.6089242788461539,0.6089242788461539,0.0,0.0,0.0,0.6956404074662231,0.6956404074662231,0.0,0.78125,0.78125,0.0,0.2692307692307692,0.2692307692307692,0.0,0.5681818181818182,0.5681818181818182,0.0,0.5,0.5,0.0,0.05276381909547745,0.05276381909547745,0.0,0.2534404811638643,0.2534404811638643,0.0,20.0,20.0,0.0,1.0,True,1.0
KNN,0.6168870192307692,0.6168870192307692,0.0,0.0,0.0,0.7105523383515712,0.7105523383515712,0.0,0.78125,0.78125,0.0,0.38461538461538464,0.38461538461538464,0.0,0.6097560975609756,0.6097560975609756,0.0,0.5882352941176471,0.5882352941176471,0.0,0.17142857142857149,0.17142857142857149,0.0,0.23837555711939953,0.23837555711939953,0.0,20.0,20.0,0.0,1.0,True,1.0
LightGBM,0.6361177884615384,0.6361177884615384,0.0,0.0,0.0,0.690415404538099,0.690415404538099,0.0,0.59375,0.59375,0.0,0.6346153846153846,0.6346153846153846,0.0,0.6666666666666666,0.6666666666666666,0.0,0.559322033898305,0.559322033898305,0.0,0.2255192878338278,0.2255192878338278,0.0,0.27502612561169326,0.27502612561169326,0.0,20.0,20.0,0.0,1.0,True,1.0
LogisticRegression,0.6908052884615383,0.6908052884615383,0.0,0.0,0.0,0.7418371529639792,0.7418371529639792,0.0,0.71875,0.71875,0.0,0.5769230769230769,0.5769230769230769,0.0,0.6764705882352942,0.6764705882352942,0.0,0.625,0.625,0.0,0.29782082324455206,0.29782082324455206,0.0,0.2275406899729741,0.2275406899729741,0.0,20.0,20.0,0.0,1.0,True,1.0
NaiveBayes,0.6419771634615384,0.6419771634615384,0.0,0.0,0.0,0.6967268465375267,0.6967268465375267,0.0,0.828125,0.828125,0.0,0.3076923076923077,0.3076923076923077,0.0,0.5955056179775281,0.5955056179775281,0.0,0.5925925925925926,0.5925925925925926,0.0,0.14222781623662673,0.14222781623662673,0.0,0.3711826115279664,0.3711826115279664,0.0,20.0,20.0,0.0,1.0,True,1.0
RandomForest,0.6670673076923076,0.6670673076923076,0.0,0.0,0.0,0.750175842330558,0.750175842330558,0.0,0.609375,0.609375,0.0,0.5769230769230769,0.5769230769230769,0.0,0.639344262295082,0.639344262295082,0.0,0.5454545454545454,0.5454545454545454,0.0,0.18529587567244477,0.18529587567244477,0.0,0.23035255767271162,0.23035255767271162,0.0,20.0,20.0,0.0,1.0,True,1.0
SVM_Linear,0.6568509615384616,0.6568509615384616,0.0,0.0,0.0,0.7069068014608659,0.7069068014608659,0.0,0.765625,0.765625,0.0,0.46153846153846156,0.46153846153846156,0.0,0.6363636363636364,0.6363636363636364,0.0,0.6153846153846154,0.6153846153846154,0.0,0.23261538461538456,0.23261538461538456,0.0,0.2379397790934703,0.2379397790934703,0.0,20.0,20.0,0.0,1.0,True,1.0
SVM_RBF,0.6478365384615384,0.6478365384615384,0.0,0.0,0.0,0.7410186036168587,0.7410186036168587,0.0,0.71875,0.71875,0.0,0.4423076923076923,0.4423076923076923,0.0,0.6133333333333333,0.6133333333333333,0.0,0.5609756097560976,0.5609756097560976,0.0,0.16431637032495394,0.16431637032495394,0.0,0.23970669831547828,0.23970669831547828,0.0,20.0,20.0,0.0,1.0,True,1.0
XGBoost,0.6234975961538461,0.6234975961538461,0.0,0.0,0.0,0.7035729917724901,0.7035729917724901,0.0,0.625,0.625,0.0,0.5384615384615384,0.5384615384615384,0.0,0.625,0.625,0.0,0.5384615384615384,0.5384615384615384,0.0,0.16346153846153844,0.16346153846153844,0.0,0.2981197842419519,0.2981197842419519,0.0,20.0,20.0,0.0,1.0,True,1.0
